Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,NO2_column_number_density
2018-06-28,2018,6,LATO,22.323059865819232,49.69602003250564,24540.2280768495,7.23663659886592E-5
2018-06-28,2018,6,LATO,22.385941935707592,49.69602003250564,23140.778762056183,7.194313771350725E-5
2018-06-28,2018,6,LATO,22.448824005595952,49.69602003250564,22577.875790308855,7.282242115416856E-5
2018-06-28,2018,6,LATO,22.511706075484312,49.69602003250564,22913.25456963564,7.191043867685575E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.69602003250564,24109.457863147687,7.122932536470633E-5
2018-06-28,2018,6,LATO,22.197295726042483,49.758902102394,24318.74964086025,7.264829302509014E-5
2018-06-28,2018,6,LATO,22.260177795930872,49.758902102394,21044.765505530686,7.137132556880514E-5
2018-06-28,2018,6,LATO,22.323059865819232,49.758902102394,18311.251357091776,7.151375196851041E-5
2018-06-28,2018,6,LATO,22.385941935707592,49.758902102394,16390.8787942761,7.344672031047796E-5
2018-06-28,2018,6,LATO,22.448824005595952,49.758902102394,15587.14153638,7.25714444325022E-5
2018-06-28,2018,6,LATO,22.511706075484312,49.758902102394,16068.479486191147,7.144665066581508E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.758902102394,17730.54250030285,6.965522902380675E-5
2018-06-28,2018,6,LATO,22.63747021526106,49.758902102394,20285.153016224278,7.060396728501154E-5
2018-06-28,2018,6,LATO,22.70035228514942,49.758902102394,23442.310946847963,7.191334646037622E-5
2018-06-28,2018,6,LATO,22.134413656154123,49.82178417228238,24722.362547033103,7.881592209510684E-5
2018-06-28,2018,6,LATO,22.197295726042483,49.82178417228238,20542.195188196925,7.731016296490358E-5
2018-06-28,2018,6,LATO,22.260177795930872,49.82178417228238,16542.503063556123,7.332286883420596E-5
2018-06-28,2018,6,LATO,22.323059865819232,49.82178417228238,12892.370219270011,7.283260956279124E-5
2018-06-28,2018,6,LATO,22.385941935707592,49.82178417228238,9982.899861534774,7.342605369574049E-5
2018-06-28,2018,6,LATO,22.448824005595952,49.82178417228238,8601.720825594271,7.411037293166403E-5
2018-06-28,2018,6,LATO,22.511706075484312,49.82178417228238,9444.942689842754,7.218110389905115E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.82178417228238,12054.478851814223,7.189324561191916E-5
2018-06-28,2018,6,LATO,22.63747021526106,49.82178417228238,15565.997140646054,7.53505288226335E-5
2018-06-28,2018,6,LATO,22.70035228514942,49.82178417228238,19498.10967800779,7.143259729961316E-5
2018-06-28,2018,6,LATO,22.76323435503778,49.82178417228238,23641.8776772394,7.504412406368863E-5
2018-06-28,2018,6,LATO,22.134413656154123,49.88466624217074,23224.230273767003,8.956574796226211E-5
2018-06-28,2018,6,LATO,22.197295726042483,49.88466624217074,18718.889477177047,9.043736454881689E-5
2018-06-28,2018,6,LATO,22.260177795930872,49.88466624217074,14221.876581805245,8.468628091883832E-5
2018-06-28,2018,6,LATO,22.323059865819232,49.88466624217074,9744.73329811921,7.998017447856223E-5
2018-06-28,2018,6,LATO,22.385941935707592,49.88466624217074,5337.701777051611,7.977358870314332E-5
2018-06-28,2018,6,LATO,22.448824005595952,49.88466624217074,1689.8323470975295,7.76606448715935E-5
2018-06-28,2018,6,LATO,22.511706075484312,49.88466624217074,4248.908093275962,7.677191544073691E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.88466624217074,8607.215112360871,7.593293195530734E-5
2018-06-28,2018,6,LATO,22.63747021526106,49.88466624217074,13074.719084046901,7.452629165769342E-5
2018-06-28,2018,6,LATO,22.70035228514942,49.88466624217074,17568.310439446916,7.614174478851834E-5
2018-06-28,2018,6,LATO,22.76323435503778,49.88466624217074,22072.059543698946,7.664646105804703E-5
2018-06-28,2018,6,LATO,22.134413656154123,49.94754831205911,23777.550890242714,9.230868886147468E-5
2018-06-28,2018,6,LATO,22.197295726042483,49.94754831205911,19407.458535543698,9.387439584728093E-5
2018-06-28,2018,6,LATO,22.260177795930872,49.94754831205911,15123.058853885726,9.347484113555775E-5
2018-06-28,2018,6,LATO,22.323059865819232,49.94754831205911,11024.718871451743,8.933672151307292E-5
2018-06-28,2018,6,LATO,22.385941935707592,49.94754831205911,7427.119189933411,8.584880822304731E-5
2018-06-28,2018,6,LATO,22.448824005595952,49.94754831205911,5436.908470370576,7.871942408962106E-5
2018-06-28,2018,6,LATO,22.511706075484312,49.94754831205911,6688.635883298894,7.935849551840007E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.94754831205911,10034.734181199821,8.123865075127573E-5
2018-06-28,2018,6,LATO,22.63747021526106,49.94754831205911,14051.124900852916,7.906621277139655E-5
2018-06-28,2018,6,LATO,22.70035228514942,49.94754831205911,18301.705194452687,7.877957592396582E-5
2018-06-28,2018,6,LATO,22.76323435503778,49.94754831205911,22655.0366959535,7.776912421319422E-5
2018-06-28,2018,6,LATO,22.197295726042483,50.01043038194747,22377.289105698244,8.444357391946435E-5
2018-06-28,2018,6,LATO,22.260177795930872,50.01043038194747,18788.115732895665,8.270823967585674E-5
2018-06-28,2018,6,LATO,22.323059865819232,50.01043038194747,15683.447798971456,8.559073417393577E-5
2018-06-28,2018,6,LATO,22.385941935707592,50.01043038194747,13404.284595986906,8.419871935874101E-5
2018-06-28,2018,6,LATO,22.448824005595952,50.01043038194747,12413.94853104148,8.149907888204568E-5
2018-06-28,2018,6,LATO,22.511706075484312,50.01043038194747,13010.157676745137,8.090880147388626E-5
2018-06-28,2018,6,LATO,22.5745881453727,50.01043038194747,15004.972535181216,7.896012104331955E-5
2018-06-28,2018,6,LATO,22.63747021526106,50.01043038194747,17937.704911877958,7.86795088193171E-5
2018-06-28,2018,6,LATO,22.70035228514942,50.01043038194747,21426.627230621474,7.940641654977526E-5
2018-06-28,2018,6,LATO,22.260177795930872,50.07331245183585,23981.754575331088,7.493500816544063E-5
2018-06-28,2018,6,LATO,22.323059865819232,50.07331245183585,21638.891237977638,8.060754834455385E-5
2018-06-28,2018,6,LATO,22.385941935707592,50.07331245183585,20050.748545082988,8.006080238791226E-5
2018-06-28,2018,6,LATO,22.448824005595952,50.07331245183585,19403.534726589896,8.424613492655838E-5
2018-06-28,2018,6,LATO,22.511706075484312,50.07331245183585,19789.78182643189,8.139678123573662E-5
2018-06-28,2018,6,LATO,22.5745881453727,50.07331245183585,21152.95442664212,7.98859829126409E-5
2018-06-28,2018,6,LATO,22.63747021526106,50.07331245183585,23322.37805505326,7.783392884770022E-5
2018-06-29,2018,6,LATO,22.323059865819232,49.69602003250564,24540.2280768495,8.325357397743531E-5
2018-06-29,2018,6,LATO,22.385941935707592,49.69602003250564,23140.778762056183,8.70505784478628E-5
2018-06-29,2018,6,LATO,22.448824005595952,49.69602003250564,22577.875790308855,7.927257543175647E-5
2018-06-29,2018,6,LATO,22.511706075484312,49.69602003250564,22913.25456963564,8.688749538775536E-5
2018-06-29,2018,6,LATO,22.5745881453727,49.69602003250564,24109.457863147687,8.734234824044518E-5
2018-06-29,2018,6,LATO,22.197295726042483,49.758902102394,24318.74964086025,8.323927723071994E-5
2018-06-29,2018,6,LATO,22.260177795930872,49.758902102394,21044.765505530686,9.257238700605193E-5
2018-06-29,2018,6,LATO,22.323059865819232,49.758902102394,18311.251357091776,8.100066685960018E-5
2018-06-29,2018,6,LATO,22.385941935707592,49.758902102394,16390.8787942761,7.988925695153903E-5
2018-06-29,2018,6,LATO,22.448824005595952,49.758902102394,15587.14153638,8.700380574744914E-5
2018-06-29,2018,6,LATO,22.511706075484312,49.758902102394,16068.479486191147,8.935073137638936E-5
2018-06-29,2018,6,LATO,22.5745881453727,49.758902102394,17730.54250030285,8.475093240874018E-5
2018-06-29,2018,6,LATO,22.63747021526106,49.758902102394,20285.153016224278,8.142335005276288E-5
2018-06-29,2018,6,LATO,22.70035228514942,49.758902102394,23442.310946847963,7.929167419642992E-5
2018-06-29,2018,6,LATO,22.134413656154123,49.82178417228238,24722.362547033103,8.668059622604455E-5
2018-06-29,2018,6,LATO,22.197295726042483,49.82178417228238,20542.195188196925,8.45222998445175E-5
2018-06-29,2018,6,LATO,22.260177795930872,49.82178417228238,16542.503063556123,8.171907442418735E-5
2018-06-29,2018,6,LATO,22.323059865819232,49.82178417228238,12892.370219270011,9.483972347901582E-5
2018-06-29,2018,6,LATO,22.385941935707592,49.82178417228238,9982.899861534774,8.976076419403351E-5
2018-06-29,2018,6,LATO,22.448824005595952,49.82178417228238,8601.720825594271,8.757610390970001E-5
2018-06-29,2018,6,LATO,22.511706075484312,49.82178417228238,9444.942689842754,8.601765252516833E-5
2018-06-29,2018,6,LATO,22.5745881453727,49.82178417228238,12054.478851814223,8.002488315096763E-5
2018-06-29,2018,6,LATO,22.63747021526106,49.82178417228238,15565.997140646054,8.505176632156539E-5
2018-06-29,2018,6,LATO,22.70035228514942,49.82178417228238,19498.10967800779,8.043003186767567E-5
2018-06-29,2018,6,LATO,22.76323435503778,49.82178417228238,23641.8776772394,8.234982365238101E-5
2018-06-29,2018,6,LATO,22.134413656154123,49.88466624217074,23224.230273767003,9.72220008365116E-5
2018-06-29,2018,6,LATO,22.197295726042483,49.88466624217074,18718.889477177047,9.81035779580998E-5
2018-06-29,2018,6,LATO,22.260177795930872,49.88466624217074,14221.876581805245,9.269965734133074E-5
2018-06-29,2018,6,LATO,22.323059865819232,49.88466624217074,9744.73329811921,8.525886937615759E-5
2018-06-29,2018,6,LATO,22.385941935707592,49.88466624217074,5337.701777051611,8.787493776934309E-5
2018-06-29,2018,6,LATO,22.448824005595952,49.88466624217074,1689.8323470975295,8.417845442364537E-5
2018-06-29,2018,6,LATO,22.511706075484312,49.88466624217074,4248.908093275962,8.623353168007532E-5
2018-06-29,2018,6,LATO,22.5745881453727,49.88466624217074,8607.215112360871,8.69919820663755E-5
2018-06-29,2018,6,LATO,22.63747021526106,49.88466624217074,13074.719084046901,8.825543244316833E-5
2018-06-29,2018,6,LATO,22.70035228514942,49.88466624217074,17568.310439446916,8.865610749780527E-5
2018-06-29,2018,6,LATO,22.76323435503778,49.88466624217074,22072.059543698946,8.792167042296287E-5
2018-06-29,2018,6,LATO,22.134413656154123,49.94754831205911,23777.550890242714,1.0386912390683673E-4
2018-06-29,2018,6,LATO,22.197295726042483,49.94754831205911,19407.458535543698,9.648540877139092E-5
2018-06-29,2018,6,LATO,22.260177795930872,49.94754831205911,15123.058853885726,9.656194183636214E-5
2018-06-29,2018,6,LATO,22.323059865819232,49.94754831205911,11024.718871451743,8.551289189881208E-5
2018-06-29,2018,6,LATO,22.385941935707592,49.94754831205911,7427.119189933411,9.736578048555521E-5
2018-06-29,2018,6,LATO,22.448824005595952,49.94754831205911,5436.908470370576,8.855607207687477E-5
2018-06-29,2018,6,LATO,22.511706075484312,49.94754831205911,6688.635883298894,8.622444905541404E-5
2018-06-29,2018,6,LATO,22.5745881453727,49.94754831205911,10034.734181199821,8.547881619420934E-5
2018-06-29,2018,6,LATO,22.63747021526106,49.94754831205911,14051.124900852916,8.609048456703076E-5
2018-06-29,2018,6,LATO,22.70035228514942,49.94754831205911,18301.705194452687,8.567702283799369E-5
2018-06-29,2018,6,LATO,22.76323435503778,49.94754831205911,22655.0366959535,8.877836605537962E-5
2018-06-29,2018,6,LATO,22.197295726042483,50.01043038194747,22377.289105698244,9.609523378363411E-5
2018-06-29,2018,6,LATO,22.260177795930872,50.01043038194747,18788.115732895665,9.795983194699722E-5
2018-06-29,2018,6,LATO,22.323059865819232,50.01043038194747,15683.447798971456,1.0471741383833722E-4
2018-06-29,2018,6,LATO,22.385941935707592,50.01043038194747,13404.284595986906,9.61104888941311E-5
2018-06-29,2018,6,LATO,22.448824005595952,50.01043038194747,12413.94853104148,9.603080911487308E-5
2018-06-29,2018,6,LATO,22.511706075484312,50.01043038194747,13010.157676745137,9.499041861711598E-5
2018-06-29,2018,6,LATO,22.5745881453727,50.01043038194747,15004.972535181216,8.251128027312538E-5
2018-06-29,2018,6,LATO,22.63747021526106,50.01043038194747,17937.704911877958,8.07280531749468E-5
2018-06-29,2018,6,LATO,22.70035228514942,50.01043038194747,21426.627230621474,8.16140716349273E-5
2018-06-29,2018,6,LATO,22.260177795930872,50.07331245183585,23981.754575331088,9.106512318126473E-5
2018-06-29,2018,6,LATO,22.323059865819232,50.07331245183585,21638.891237977638,8.531689695899741E-5
2018-06-29,2018,6,LATO,22.385941935707592,50.07331245183585,20050.748545082988,8.924574328530783E-5
2018-06-29,2018,6,LATO,22.448824005595952,50.07331245183585,19403.534726589896,9.802047636307949E-5
2018-06-29,2018,6,LATO,22.511706075484312,50.07331245183585,19789.78182643189,1.0346505724970015E-4
2018-06-29,2018,6,LATO,22.5745881453727,50.07331245183585,21152.95442664212,9.587076407148718E-5
