Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,O3_column_number_density
2019-01-01,2019,1,ZIMA,22.385941935707592,49.692518257006185,23520.858763061842,0.14665042283788451
2019-01-01,2019,1,ZIMA,22.448824005595952,49.692518257006185,22967.232740413045,0.1466267962355479
2019-01-01,2019,1,ZIMA,22.511706075484312,49.692518257006185,23297.03064229418,0.14690808158878269
2019-01-01,2019,1,ZIMA,22.5745881453727,49.692518257006185,24474.56647239255,0.14668073677135196
2019-01-01,2019,1,ZIMA,22.197295726042483,49.755400326894545,24570.55122522015,0.14638683742607922
2019-01-01,2019,1,ZIMA,22.260177795930872,49.755400326894545,21334.991661586188,0.1459254556554018
2019-01-01,2019,1,ZIMA,22.323059865819232,49.755400326894545,18643.870294193144,0.1474214423905767
2019-01-01,2019,1,ZIMA,22.385941935707592,49.755400326894545,16761.506038610158,0.1469330812661781
2019-01-01,2019,1,ZIMA,22.448824005595952,49.755400326894545,15976.36714001154,0.1462528137477636
2019-01-01,2019,1,ZIMA,22.511706075484312,49.755400326894545,16446.350854194683,0.1476128713824667
2019-01-01,2019,1,ZIMA,22.5745881453727,49.755400326894545,18073.809908249426,0.14723530748246896
2019-01-01,2019,1,ZIMA,22.63747021526106,49.755400326894545,20586.03623461998,0.14721220950847855
2019-01-01,2019,1,ZIMA,22.70035228514942,49.755400326894545,23703.36121237538,0.14806504579007107
2019-01-01,2019,1,ZIMA,22.134413656154123,49.818282396782934,24861.03630010999,0.14653013873522522
2019-01-01,2019,1,ZIMA,22.197295726042483,49.818282396782934,20708.5499825462,0.14692236004818898
2019-01-01,2019,1,ZIMA,22.260177795930872,49.818282396782934,16748.312305826657,0.1458607206318162
2019-01-01,2019,1,ZIMA,22.323059865819232,49.818282396782934,13155.11389694582,0.14626028597330898
2019-01-01,2019,1,ZIMA,22.385941935707592,49.818282396782934,10319.753309162323,0.1461331347967084
2019-01-01,2019,1,ZIMA,22.448824005595952,49.818282396782934,8990.370954407688,0.1472642025269365
2019-01-01,2019,1,ZIMA,22.511706075484312,49.818282396782934,9800.265730591625,0.14745646352403197
2019-01-01,2019,1,ZIMA,22.5745881453727,49.818282396782934,12335.021945651479,0.1466816539141936
2019-01-01,2019,1,ZIMA,22.63747021526106,49.818282396782934,15784.47221992248,0.14711759706796898
2019-01-01,2019,1,ZIMA,22.70035228514942,49.818282396782934,19673.218431619345,0.1477793325295646
2019-01-01,2019,1,ZIMA,22.76323435503778,49.818282396782934,23786.772039988522,0.14819507961355416
2019-01-01,2019,1,ZIMA,22.134413656154123,49.881164466671294,23254.94586478298,0.14663374658484826
2019-01-01,2019,1,ZIMA,22.197295726042483,49.881164466671294,18756.619852735268,0.14602340312999787
2019-01-01,2019,1,ZIMA,22.260177795930872,49.881164466671294,14271.12547286063,0.1464068379700544
2019-01-01,2019,1,ZIMA,22.323059865819232,49.881164466671294,9816.074251713027,0.14572118193694916
2019-01-01,2019,1,ZIMA,22.385941935707592,49.881164466671294,5466.41929962206,0.1464657617135337
2019-01-01,2019,1,ZIMA,22.448824005595952,49.881164466671294,2060.1861465681664,0.1473992408448136
2019-01-01,2019,1,ZIMA,22.511706075484312,49.881164466671294,4409.438254634746,0.14725413727300304
2019-01-01,2019,1,ZIMA,22.5745881453727,49.881164466671294,8687.814952918327,0.14740752671440746
2019-01-01,2019,1,ZIMA,22.63747021526106,49.881164466671294,13128.185809658306,0.14737289369691473
2019-01-01,2019,1,ZIMA,22.70035228514942,49.881164466671294,17608.42061002144,0.1483042022580895
2019-01-01,2019,1,ZIMA,22.76323435503778,49.881164466671294,22104.29081420814,0.1485398579783428
2019-01-01,2019,1,ZIMA,22.134413656154123,49.944046536559654,23692.849387257334,0.1466699292066477
2019-01-01,2019,1,ZIMA,22.197295726042483,49.944046536559654,19303.236830927814,0.14630047176368172
2019-01-01,2019,1,ZIMA,22.260177795930872,49.944046536559654,14988.718710763409,0.146105961926259
2019-01-01,2019,1,ZIMA,22.323059865819232,49.944046536559654,10839.346509785328,0.14640673973228918
2019-01-01,2019,1,ZIMA,22.385941935707592,49.944046536559654,7148.725989291564,0.14698759748030846
