Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,SO2_column_number_density
2019-03-05,2019,3,ZIMA,15.622692591759623,52.651477317258866,17071.51976121535,-3.409695899087103E-4
2019-03-05,2019,3,ZIMA,15.496928451982889,52.714359387147226,24059.23928636771,3.3286309305123775E-4
2019-03-05,2019,3,ZIMA,15.559810521871256,52.714359387147226,19809.726978342354,-8.337110912817245E-5
2019-03-05,2019,3,ZIMA,15.622692591759623,52.714359387147226,15560.210894277558,-2.5918698933399034E-4
2019-03-05,2019,3,ZIMA,15.559810521871256,52.7772414570356,20995.84353743548,2.4347854270259002E-4
2019-03-05,2019,3,ZIMA,15.622692591759623,52.7772414570356,17050.997795934785,7.509160108183317E-5
2019-03-05,2019,3,ZIMA,15.68557466164799,52.7772414570356,13293.320929627242,-1.6671364992578789E-4
2019-03-05,2019,3,ZIMA,15.874220871313092,52.7772414570356,7143.482842336921,0.001013483732904099
2019-03-05,2019,3,ZIMA,15.999985011089827,52.7772414570356,12147.633537729573,-7.586528951163872E-5
2019-03-05,2019,3,ZIMA,16.18863122075492,52.7772414570356,23724.56414443784,0.0020837085291760043
2019-03-05,2019,3,ZIMA,15.559810521871256,52.84012352692396,24231.42242452294,8.927971922280048E-4
2019-03-05,2019,3,ZIMA,15.622692591759623,52.84012352692396,20911.464230933994,7.765891893001379E-4
2019-03-05,2019,3,ZIMA,15.68557466164799,52.84012352692396,17984.15066447224,1.5502944061531252E-4
2019-03-05,2019,3,ZIMA,15.748456731536358,52.84012352692396,15671.085644967563,2.483391745557067E-4
2019-03-05,2019,3,ZIMA,15.811338801424725,52.84012352692396,14274.069939180357,3.111630724788026E-5
2019-03-05,2019,3,ZIMA,15.874220871313092,52.84012352692396,14068.68946732104,2.088197700665762E-4
2019-03-05,2019,3,ZIMA,15.93710294120146,52.84012352692396,15103.633802158634,-1.806321510327641E-4
2019-03-05,2019,3,ZIMA,15.999985011089827,52.84012352692396,17155.883987275512,3.0116541765698944E-4
2019-03-05,2019,3,ZIMA,16.062867080978187,52.84012352692396,19913.359216709963,-6.30498869698532E-4
2019-03-05,2019,3,ZIMA,16.125749150866554,52.84012352692396,23125.1435052215,-1.2592032746409868E-4
2019-03-05,2019,3,ZIMA,15.68557466164799,52.903005596812335,23834.573942923987,5.667549497981852E-4
2019-03-05,2019,3,ZIMA,15.748456731536358,52.903005596812335,22143.90843762429,-5.574441346534552E-4
2019-03-05,2019,3,ZIMA,15.811338801424725,52.903005596812335,21179.689988848637,3.8359691739486016E-4
2019-03-05,2019,3,ZIMA,15.874220871313092,52.903005596812335,21042.020473418805,-3.5426006517719514E-4
2019-03-05,2019,3,ZIMA,15.93710294120146,52.903005596812335,21746.60303378259,-2.0999537919955818E-6
2019-03-05,2019,3,ZIMA,15.999985011089827,52.903005596812335,23216.88320292609,0.0013996549837943556
2019-03-06,2019,3,ZIMA,15.689076437147444,52.52571317748213,23745.682421652873,0.0018990671853499825
2019-03-06,2019,3,ZIMA,15.751958507035809,52.52571317748213,22078.713689601347,0.0014104993947474092
2019-03-06,2019,3,ZIMA,15.814840576924176,52.52571317748213,21150.748689315624,0.0021140370040428256
2019-03-06,2019,3,ZIMA,15.877722646812542,52.52571317748213,21059.70315115465,0.0026869152411854737
2019-03-06,2019,3,ZIMA,15.940604716700909,52.52571317748213,21816.057647969676,0.002456782263131658
2019-03-06,2019,3,ZIMA,16.003486786589274,52.52571317748213,23337.56716991213,0.0018521194510106578
2019-03-06,2019,3,ZIMA,15.56331229737071,52.588595247370506,24084.72503606941,-1.3511486768315762E-4
2019-03-06,2019,3,ZIMA,15.626194367259076,52.588595247370506,20769.064641482077,-2.857800083554741E-4
2019-03-06,2019,3,ZIMA,15.689076437147444,52.588595247370506,17856.50248844991,0.001734386648295705
2019-03-06,2019,3,ZIMA,15.751958507035809,52.588595247370506,15574.850165181088,0.002847776505336812
2019-03-06,2019,3,ZIMA,15.814840576924176,52.588595247370506,14230.876806512726,0.0025935114310142913
2019-03-06,2019,3,ZIMA,15.877722646812542,52.588595247370506,14095.399075298043,4.86914046149729E-4
2019-03-06,2019,3,ZIMA,15.940604716700909,52.588595247370506,15200.763240716402,0.0010361645890224677
2019-03-06,2019,3,ZIMA,16.003486786589274,52.588595247370506,17310.884832477164,-1.0444296640343804E-4
2019-03-06,2019,3,ZIMA,16.06636885647764,52.588595247370506,20111.95938934753,-5.270670283838245E-4
2019-03-06,2019,3,ZIMA,16.12925092636601,52.588595247370506,23356.705186551022,0.001107406966790529
2019-03-06,2019,3,ZIMA,15.56331229737071,52.651477317258866,20799.633055205803,0.00162114838663669
2019-03-06,2019,3,ZIMA,15.626194367259076,52.651477317258866,16855.792112479834,0.001660854927372578
2019-03-06,2019,3,ZIMA,15.689076437147444,52.651477317258866,13106.46274227584,0.00130723570487204
2019-03-06,2019,3,ZIMA,15.751958507035809,52.651477317258866,9778.023956708455,0.0014520436120963188
2019-03-06,2019,3,ZIMA,15.814840576924176,52.651477317258866,7457.1411528150675,-4.0724149131214003E-4
2019-03-06,2019,3,ZIMA,15.877722646812542,52.651477317258866,7195.614582961276,-4.27491104880166E-4
2019-03-06,2019,3,ZIMA,15.940604716700909,52.651477317258866,9171.339239691446,8.0752606321297E-6
2019-03-06,2019,3,ZIMA,16.003486786589274,52.651477317258866,12353.900985741211,3.416233516808807E-4
2019-03-06,2019,3,ZIMA,16.06636885647764,52.651477317258866,16040.356733281089,3.2673302435001355E-4
2019-03-06,2019,3,ZIMA,16.12925092636601,52.651477317258866,19953.342761843138,2.602405571514695E-4
2019-03-06,2019,3,ZIMA,16.192132996254376,52.651477317258866,23982.228460827926,6.030145437113928E-4
2019-03-06,2019,3,ZIMA,15.500430227482344,52.714359387147226,23822.592639716644,-4.039779550849853E-4
2019-03-06,2019,3,ZIMA,15.56331229737071,52.714359387147226,19573.080100111252,0.0016439812456672098
2019-03-06,2019,3,ZIMA,15.626194367259076,52.714359387147226,15323.563829579143,0.001117306785192996
2019-03-06,2019,3,ZIMA,15.689076437147444,52.714359387147226,11074.04463825786,4.344521881824806E-4
2019-03-06,2019,3,ZIMA,15.751958507035809,52.714359387147226,6824.52333651635,4.608185055414076E-4
2019-03-06,2019,3,ZIMA,15.814840576924176,52.714359387147226,2575.0007368816273,5.547879635928884E-6
2019-03-06,2019,3,ZIMA,15.877722646812542,52.714359387147226,1674.522373365334,3.361117160500621E-4
2019-03-06,2019,3,ZIMA,16.003486786589274,52.714359387147226,10173.566786451467,9.276695513045548E-5
2019-03-06,2019,3,ZIMA,16.06636885647764,52.714359387147226,14423.086492654167,1.9031539946849827E-4
2019-03-06,2019,3,ZIMA,16.12925092636601,52.714359387147226,18672.60344975388,3.8414827113808085E-4
2019-03-06,2019,3,ZIMA,16.192132996254376,52.714359387147226,22922.116847589186,-9.265729442253283E-4
2019-03-06,2019,3,ZIMA,15.500430227482344,52.7772414570356,24812.582327201875,0.002140538615701026
2019-03-06,2019,3,ZIMA,15.56331229737071,52.7772414570356,20773.036197072597,0.00126680719887653
2019-03-06,2019,3,ZIMA,15.626194367259076,52.7772414570356,16835.631390910206,0.0010654948399636207
2019-03-06,2019,3,ZIMA,15.689076437147444,52.7772414570356,13092.8498643505,0.0012442702430991502
2019-03-06,2019,3,ZIMA,15.751958507035809,52.7772414570356,9770.96903933021,0.001307063489408154
2019-03-06,2019,3,ZIMA,15.814840576924176,52.7772414570356,7455.59555278977,-1.851927480105341E-4
2019-03-06,2019,3,ZIMA,15.877722646812542,52.7772414570356,7194.777575571271,1.2846489649495345E-4
2019-03-06,2019,3,ZIMA,15.940604716700909,52.7772414570356,9165.61836672897,9.282992768496504E-4
2019-03-06,2019,3,ZIMA,16.003486786589274,52.7772414570356,12341.68722447536,0.0019295994002188673
2019-03-06,2019,3,ZIMA,16.06636885647764,52.7772414570356,16021.573942119403,0.0015624955308994534
2019-03-06,2019,3,ZIMA,16.12925092636601,52.7772414570356,19928.101380664346,6.744709691558237E-4
2019-03-06,2019,3,ZIMA,16.192132996254376,52.7772414570356,23950.62223741374,2.3764887009746955E-4
2019-03-06,2019,3,ZIMA,15.56331229737071,52.84012352692396,24038.902586959226,2.3252653878262346E-4
2019-03-06,2019,3,ZIMA,15.626194367259076,52.84012352692396,20736.48524360071,-4.338905618564442E-4
2019-03-06,2019,3,ZIMA,15.689076437147444,52.84012352692396,17836.69375304128,0.0014758332297102874
2019-03-06,2019,3,ZIMA,15.751958507035809,52.84012352692396,15566.193533803413,0.002122702687436522
2019-03-06,2019,3,ZIMA,15.814840576924176,52.84012352692396,14229.476851113666,8.470136293867833E-4
2019-03-06,2019,3,ZIMA,15.877722646812542,52.84012352692396,14094.76641626161,-1.6059636887400701E-4
2019-03-06,2019,3,ZIMA,15.940604716700909,52.84012352692396,15194.06635306976,8.226189678457347E-4
2019-03-06,2019,3,ZIMA,16.003486786589274,52.84012352692396,17293.632936554826,-4.401375330604091E-4
2019-03-06,2019,3,ZIMA,16.06636885647764,52.84012352692396,20082.149935129306,-2.0277048461186587E-4
2019-03-06,2019,3,ZIMA,16.12925092636601,52.84012352692396,23313.70013041028,4.8234097743864553E-4
2019-03-06,2019,3,ZIMA,15.689076437147444,52.903005596812335,23723.67001528511,0.0010160829898413959
2019-03-06,2019,3,ZIMA,15.751958507035809,52.903005596812335,22069.908735066296,0.0019497927427587546
2019-03-06,2019,3,ZIMA,15.814840576924176,52.903005596812335,21149.705497513147,7.678308363069533E-4
2019-03-06,2019,3,ZIMA,15.877722646812542,52.903005596812335,21059.439261344414,0.0021807882019000946
2019-03-06,2019,3,ZIMA,15.940604716700909,52.903005596812335,21809.417301342648,0.0017540557008907491
2019-03-06,2019,3,ZIMA,16.003486786589274,52.903005596812335,23318.709040615417,6.054915855691923E-4
2019-03-07,2019,3,ZIMA,15.814840576924176,52.84012352692396,14229.476851113666,0.0013603031261884197
2019-03-07,2019,3,ZIMA,15.877722646812542,52.84012352692396,14094.76641626161,0.001360303151621843
2019-03-07,2019,3,ZIMA,15.689076437147444,52.903005596812335,23723.67001528511,4.300375461491292E-5
2019-03-07,2019,3,ZIMA,15.751958507035809,52.903005596812335,22069.908735066296,4.300375403237232E-5
2019-03-07,2019,3,ZIMA,15.814840576924176,52.903005596812335,21149.705497513147,0.0013603031422886023
2019-03-07,2019,3,ZIMA,15.877722646812542,52.903005596812335,21059.439261344414,0.0013603031402453674
2019-03-07,2019,3,ZIMA,15.940604716700909,52.903005596812335,21809.417301342648,1.9079709988523502E-4
2019-03-07,2019,3,ZIMA,16.003486786589274,52.903005596812335,23318.709040615417,6.318920554481155E-5
2019-03-09,2019,3,ZIMA,15.559810521871256,52.588595247370506,24277.985469555424,-3.09904801436131E-4
2019-03-09,2019,3,ZIMA,15.559810521871256,52.651477317258866,21022.795958109058,-4.511035254882834E-4
2019-03-09,2019,3,ZIMA,15.622692591759623,52.651477317258866,17071.51976121535,-6.253592999341849E-4
2019-03-09,2019,3,ZIMA,15.496928451982889,52.714359387147226,24059.23928636771,1.649844255835913E-4
2019-03-09,2019,3,ZIMA,15.559810521871256,52.714359387147226,19809.726978342354,-4.124913317905122E-4
2019-03-09,2019,3,ZIMA,15.622692591759623,52.714359387147226,15560.210894277558,-5.760772650269615E-4
2019-03-09,2019,3,ZIMA,15.559810521871256,52.7772414570356,20995.84353743548,3.3924770900350184E-4
2019-03-09,2019,3,ZIMA,15.622692591759623,52.7772414570356,17050.997795934785,-1.5086117171382715E-4
2019-03-09,2019,3,ZIMA,15.68557466164799,52.7772414570356,13293.320929627242,4.631992185047367E-4
2019-03-09,2019,3,ZIMA,15.748456731536358,52.7772414570356,9937.460274200448,9.950546334444887E-4
2019-03-09,2019,3,ZIMA,15.811338801424725,52.7772414570356,7540.477569589322,0.0015531865687460932
2019-03-09,2019,3,ZIMA,15.559810521871256,52.84012352692396,24231.42242452294,1.9252170948884156E-4
2019-03-09,2019,3,ZIMA,15.622692591759623,52.84012352692396,20911.464230933994,-3.5942183310899457E-4
2019-03-12,2019,3,ZIMA,15.940604716700909,52.52571317748213,21816.057647969676,-5.245697313294646E-5
2019-03-12,2019,3,ZIMA,16.003486786589274,52.52571317748213,23337.56716991213,1.3027285691680929E-5
2019-03-12,2019,3,ZIMA,15.877722646812542,52.588595247370506,14095.399075298043,3.7832024914427565E-4
2019-03-12,2019,3,ZIMA,15.940604716700909,52.588595247370506,15200.763240716402,1.4904948867850213E-4
2019-03-12,2019,3,ZIMA,16.003486786589274,52.588595247370506,17310.884832477164,1.0316310363123036E-4
2019-03-12,2019,3,ZIMA,16.06636885647764,52.588595247370506,20111.95938934753,2.2714242871438892E-5
2019-03-12,2019,3,ZIMA,16.12925092636601,52.588595247370506,23356.705186551022,-3.584029888308272E-4
2019-03-12,2019,3,ZIMA,15.814840576924176,52.651477317258866,7457.1411528150675,-6.164896108287851E-4
2019-03-12,2019,3,ZIMA,15.877722646812542,52.651477317258866,7195.614582961276,-6.164896192805777E-4
2019-03-12,2019,3,ZIMA,15.940604716700909,52.651477317258866,9171.339239691446,6.835619657046287E-4
2019-03-12,2019,3,ZIMA,16.003486786589274,52.651477317258866,12353.900985741211,5.198494380325605E-4
2019-03-12,2019,3,ZIMA,16.06636885647764,52.651477317258866,16040.356733281089,-4.8053829232231596E-5
2019-03-12,2019,3,ZIMA,16.12925092636601,52.651477317258866,19953.342761843138,5.009651723513705E-4
2019-03-12,2019,3,ZIMA,16.192132996254376,52.651477317258866,23982.228460827926,6.737501214606078E-4
2019-03-12,2019,3,ZIMA,15.814840576924176,52.714359387147226,2575.0007368816273,-7.084835812336958E-4
2019-03-12,2019,3,ZIMA,15.877722646812542,52.714359387147226,1674.522373365334,-6.67095230517036E-4
2019-03-12,2019,3,ZIMA,15.940604716700909,52.714359387147226,5924.045141643675,7.3387700831517E-4
2019-03-12,2019,3,ZIMA,16.003486786589274,52.714359387147226,10173.566786451467,3.8239530757407916E-4
2019-03-12,2019,3,ZIMA,16.06636885647764,52.714359387147226,14423.086492654167,2.2121060747989335E-4
2019-03-12,2019,3,ZIMA,15.626194367259076,52.7772414570356,16835.631390910206,-4.8376937478214043E-4
2019-03-12,2019,3,ZIMA,15.689076437147444,52.7772414570356,13092.8498643505,-4.837693657355364E-4
2019-03-12,2019,3,ZIMA,15.751958507035809,52.7772414570356,9770.96903933021,-6.678794697974511E-4
2019-03-12,2019,3,ZIMA,15.814840576924176,52.7772414570356,7455.59555278977,-6.669547111694456E-4
2019-03-12,2019,3,ZIMA,15.877722646812542,52.7772414570356,7194.777575571271,1.0369707302667896E-4
2019-03-12,2019,3,ZIMA,15.940604716700909,52.7772414570356,9165.61836672897,0.0013539285532767253
2019-03-12,2019,3,ZIMA,16.003486786589274,52.7772414570356,12341.68722447536,-1.321059755908209E-4
