Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
2017-01-01,00:00,2017,1,ZIMA,274.1355895996094,272.9164276123047,91.56327350796802,3.26483154296875,1.27325439453125,3.5043261487990596,201.30532805407216,101629.80859375,8.925795555114746E-5
2017-01-01,01:00,2017,1,ZIMA,274.13514709472656,272.9411926269531,91.7310828398008,3.1018218994140625,1.376678466796875,3.3936032025896687,203.93303565950214,101538.69140625,4.886463284492493E-5
2017-01-01,02:00,2017,1,ZIMA,274.2834777832031,272.86924743652344,90.28485671304236,3.02716064453125,1.5483856201171875,3.4001764066566516,207.08963826739236,101450.50390625,1.134537160396576E-5
2017-01-01,03:00,2017,1,ZIMA,274.31324768066406,272.6358642578125,88.57511344958922,3.0662994384765625,1.60455322265625,3.4607489493949486,207.62245701675047,101357.73046875,2.0781531929969788E-5
2017-01-01,04:00,2017,1,ZIMA,274.25672912597656,272.3304138183594,86.97655293496724,3.08441162109375,1.495361328125,3.427783620649054,205.8646877054511,101311.12890625,2.008676528930664E-5
2017-01-01,05:00,2017,1,ZIMA,274.2346649169922,272.03131103515625,85.23052731759981,3.0405120849609375,1.4361419677734375,3.3626206283780613,205.28303157804967,101266.7265625,1.7549842596054077E-5
2017-01-01,06:00,2017,1,ZIMA,274.2363739013672,271.68701171875,83.09638975736124,2.935882568359375,1.5347442626953125,3.312830573251916,207.59849714645037,101245.1875,5.0067901611328125E-6
2017-01-01,07:00,2017,1,ZIMA,274.6409606933594,272.4189910888672,85.1602397463032,3.0865936279296875,1.8905487060546875,3.619562768338353,211.48760582141176,101181.4375,2.8759241104125977E-6
2017-01-01,08:00,2017,1,ZIMA,274.4753112792969,272.08692932128906,84.1120511067867,3.0173492431640625,2.1956939697265625,3.731684400363505,216.04299619769142,101153.18359375,9.6932053565979E-6
2017-01-01,09:00,2017,1,ZIMA,274.5151824951172,271.735107421875,81.73761378676637,3.0793914794921875,2.2832794189453125,3.8335384162609256,216.55586196414149,101106.12109375,1.2814998626708984E-6
2017-01-01,10:00,2017,1,ZIMA,274.7413024902344,271.45074462890625,78.76159355856977,2.7246551513671875,1.911407470703125,3.3282464170988706,215.05053198764173,101085.1484375,3.0994415283203125E-6
