Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,tropospheric_NO2_column_number_density
2018-06-28,2018,6,LATO,16.03485287698257,52.84012352692396,18615.999562955993,2.0458783183130436E-5
2018-06-28,2018,6,LATO,16.09773494687093,52.84012352692396,21650.449581619607,2.0458783183130436E-5
2018-06-28,2018,6,LATO,15.846206667317489,52.903005596812335,20997.96382356268,1.5193949366221204E-5
2018-06-28,2018,6,LATO,15.909088737205849,52.903005596812335,21331.712135525457,1.5193949366221204E-5
2018-06-29,2018,6,LATO,15.65756045765238,52.52571317748213,24815.07231326973,3.560156419034008E-5
2018-06-29,2018,6,LATO,15.7833245974291,52.52571317748213,21515.70759435063,1.1492936209833715E-5
2018-06-29,2018,6,LATO,15.846206667317489,52.52571317748213,20997.695045855926,1.6159593769771163E-6
2018-06-29,2018,6,LATO,15.909088737205849,52.52571317748213,21334.31658195892,1.6159593769771163E-6
2018-06-29,2018,6,LATO,15.59467838776402,52.588595247370506,22391.152784640566,1.9671766478247853E-6
2018-06-29,2018,6,LATO,15.65756045765238,52.588595247370506,19253.85394701966,2.664264974712989E-5
2018-06-29,2018,6,LATO,15.72044252754074,52.588595247370506,16621.632730067857,1.1492936209833715E-5
2018-06-29,2018,6,LATO,15.7833245974291,52.588595247370506,14767.095256573994,1.1492936209833715E-5
2018-06-29,2018,6,LATO,15.846206667317489,52.588595247370506,14002.717729155227,1.4989656833970892E-5
2018-06-29,2018,6,LATO,15.909088737205849,52.588595247370506,14501.917158776188,1.5172290659393184E-5
2018-06-29,2018,6,LATO,15.531796317875632,52.651477317258866,22818.00979135385,1.6350790247088298E-5
2018-06-29,2018,6,LATO,15.59467838776402,52.651477317258866,18815.609963204624,1.4178149381019926E-5
2018-06-29,2018,6,LATO,15.65756045765238,52.651477317258866,14951.968858801985,1.2648079987897146E-5
2018-06-29,2018,6,LATO,15.72044252754074,52.651477317258866,11369.444415087117,1.008796607493423E-5
2018-06-29,2018,6,LATO,15.7833245974291,52.651477317258866,8434.213163310389,9.000197111087831E-6
2018-06-29,2018,6,LATO,15.846206667317489,52.651477317258866,7012.590662666912,1.2215954290277668E-5
2018-06-29,2018,6,LATO,15.909088737205849,52.651477317258866,7961.504566198394,1.8232179475792996E-5
2018-06-29,2018,6,LATO,16.09773494687093,52.651477317258866,17972.91168456832,1.3891785772981116E-5
2018-06-29,2018,6,LATO,16.160617016759318,52.651477317258866,21952.439103526944,2.3793418967113028E-5
2018-06-29,2018,6,LATO,15.531796317875632,52.714359387147226,21702.901570876984,1.371336124317311E-5
2018-06-29,2018,6,LATO,15.59467838776402,52.714359387147226,17453.387068991935,9.803042141480791E-6
2018-06-29,2018,6,LATO,15.65756045765238,52.714359387147226,13203.869240273452,7.6281720302537055E-6
2018-06-29,2018,6,LATO,15.72044252754074,52.714359387147226,8954.348894928335,8.765971830676215E-6
2018-06-29,2018,6,LATO,15.7833245974291,52.714359387147226,4704.826843761005,9.605619693061773E-6
2018-06-29,2018,6,LATO,15.846206667317489,52.714359387147226,455.30392609060175,1.6977730346898648E-5
2018-06-29,2018,6,LATO,15.909088737205849,52.714359387147226,3794.2191499399396,2.4351957108592615E-5
2018-06-29,2018,6,LATO,15.971970807094209,52.714359387147226,8043.741460857515,1.0236380148853641E-5
2018-06-29,2018,6,LATO,16.03485287698257,52.714359387147226,12293.262240037193,1.3693628943656222E-5
2018-06-29,2018,6,LATO,16.09773494687093,52.714359387147226,16542.780676243197,2.4065260134858134E-5
2018-06-29,2018,6,LATO,16.160617016759318,52.714359387147226,20792.295959217136,1.8333414890822777E-5
2018-06-29,2018,6,LATO,15.531796317875632,52.7772414570356,22788.22191481374,2.3053961673577476E-5
2018-06-29,2018,6,LATO,15.59467838776402,52.7772414570356,18792.21062011863,1.437283019568404E-5
2018-06-29,2018,6,LATO,15.65756045765238,52.7772414570356,14935.060275762009,1.6512123693246394E-5
2018-06-29,2018,6,LATO,15.72044252754074,52.7772414570356,11359.124361390424,1.0479272838655434E-5
2018-06-29,2018,6,LATO,15.7833245974291,52.7772414570356,8430.202541431821,1.5463556930332524E-5
2018-06-29,2018,6,LATO,15.846206667317489,52.7772414570356,7012.264283591564,7.6046100468617885E-6
2018-06-29,2018,6,LATO,15.909088737205849,52.7772414570356,7958.654056857932,5.4183552231813756E-6
2018-06-29,2018,6,LATO,15.971970807094209,52.7772414570356,10657.082003736054,8.978804626857517E-6
2018-06-29,2018,6,LATO,16.03485287698257,52.7772414570356,14137.593878115369,1.1584868786354022E-5
2018-06-29,2018,6,LATO,16.09773494687093,52.7772414570356,17950.893618037037,1.5544113438159598E-6
2018-06-29,2018,6,LATO,16.160617016759318,52.7772414570356,21924.013129534076,1.290285119276212E-5
2018-06-29,2018,6,LATO,15.59467838776402,52.84012352692396,22351.957143643085,2.4335463847451375E-5
2018-06-29,2018,6,LATO,15.65756045765238,52.84012352692396,19227.752268041877,1.6042436192521308E-5
2018-06-29,2018,6,LATO,15.72044252754074,52.84012352692396,16607.703402031748,1.4630006489456881E-5
2018-06-29,2018,6,LATO,15.7833245974291,52.84012352692396,14762.726179496998,1.7792378271319096E-5
2018-06-29,2018,6,LATO,15.846206667317489,52.84012352692396,14002.614181475476,1.829223359869785E-5
2018-06-29,2018,6,LATO,15.909088737205849,52.84012352692396,14499.003255387726,1.8187562542624557E-5
2018-06-29,2018,6,LATO,15.971970807094209,52.84012352692396,16136.350656027174,1.690835036054318E-5
2018-06-29,2018,6,LATO,16.03485287698257,52.84012352692396,18615.999562955993,1.570294878722347E-5
2018-06-29,2018,6,LATO,16.09773494687093,52.84012352692396,21650.449581619607,1.838616424514364E-5
2018-06-29,2018,6,LATO,15.65756045765238,52.903005596812335,24785.011699650946,2.2368709805139886E-5
2018-06-29,2018,6,LATO,15.72044252754074,52.903005596812335,22815.38679174326,1.4169072144016378E-5
2018-06-29,2018,6,LATO,15.7833245974291,52.903005596812335,21511.573251402937,1.4675750802885264E-5
2018-06-29,2018,6,LATO,15.846206667317489,52.903005596812335,20997.96382356268,2.0166316059331223E-5
2018-06-29,2018,6,LATO,15.909088737205849,52.903005596812335,21331.712135525457,1.516867730687662E-5
2018-06-29,2018,6,LATO,15.971970807094209,52.903005596812335,22475.101362322897,1.9132543058943218E-5
2018-06-29,2018,6,LATO,16.03485287698257,52.903005596812335,24314.177998569463,1.7428596715575464E-5
2018-06-29,2018,6,LATO,16.09773494687093,52.588595247370506,21686.80822823009,1.9205963326385245E-5
2018-06-29,2018,6,LATO,15.531796317875632,52.7772414570356,22788.22191481374,1.2169262845418416E-5
2018-06-29,2018,6,LATO,15.59467838776402,52.7772414570356,18792.21062011863,1.2169262845418416E-5
2018-06-29,2018,6,LATO,15.65756045765238,52.7772414570356,14935.060275762009,1.2169262845418416E-5
2018-06-29,2018,6,LATO,15.59467838776402,52.84012352692396,22351.957143643085,1.624558140397324E-5
2018-06-29,2018,6,LATO,15.65756045765238,52.84012352692396,19227.752268041877,1.7659073386806124E-5
2018-06-29,2018,6,LATO,15.72044252754074,52.84012352692396,16607.703402031748,1.9710643755388446E-5
2018-06-29,2018,6,LATO,15.7833245974291,52.84012352692396,14762.726179496998,1.9710643755388446E-5
