Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,O3_column_number_density
2019-01-01,2019,1,ZIMA,21.882885376600655,49.881164466671294,24010.77490848707,0.14717390069157416
2019-01-01,2019,1,ZIMA,21.945767446489015,49.881164466671294,21976.340568687818,0.14709152315241633
2019-01-01,2019,1,ZIMA,22.008649516377403,49.881164466671294,20738.79820624904,0.14714394874533615
2019-01-01,2019,1,ZIMA,22.071531586265763,49.881164466671294,20443.381027564494,0.14650860291280193
2019-01-01,2019,1,ZIMA,22.134413656154123,49.881164466671294,21129.641240365683,0.14663374658484826
2019-01-01,2019,1,ZIMA,22.197295726042483,49.881164466671294,22708.75515939051,0.14602340312999787
2019-01-01,2019,1,ZIMA,21.820003306712294,49.944046536559654,21762.76457901642,0.14811902900266982
2019-01-01,2019,1,ZIMA,21.882885376600655,49.944046536559654,18426.570047564986,0.14825617088812915
2019-01-01,2019,1,ZIMA,21.945767446489015,49.944046536559654,15687.645165255688,0.14729804581389408
2019-01-01,2019,1,ZIMA,22.008649516377403,49.944046536559654,13903.56415482319,0.14735290967876646
2019-01-01,2019,1,ZIMA,22.071531586265763,49.944046536559654,13459.531560114863,0.146896498220482
2019-01-01,2019,1,ZIMA,22.134413656154123,49.944046536559654,14479.358322203097,0.1466699292066477
2019-01-01,2019,1,ZIMA,22.197295726042483,49.944046536559654,16696.93755115332,0.14630047176368172
2019-01-01,2019,1,ZIMA,22.260177795930872,49.944046536559654,19712.098044586688,0.146105961926259
2019-01-01,2019,1,ZIMA,22.323059865819232,49.944046536559654,23216.13724870265,0.14640673973228918
2019-01-01,2019,1,ZIMA,21.757121236823934,50.006928606448014,22556.558110586237,0.1467260148249737
2019-01-01,2019,1,ZIMA,21.820003306712294,50.006928606448014,18283.96372130385,0.14634455628739743
2019-01-01,2019,1,ZIMA,21.882885376600655,50.006928606448014,14156.214301255146,0.1478117186583652
2019-01-01,2019,1,ZIMA,21.945767446489015,50.006928606448014,10348.12294927792,0.14783162970214286
2019-01-01,2019,1,ZIMA,22.008649516377403,50.006928606448014,7372.866595185994,0.14677487173484072
2019-01-01,2019,1,ZIMA,22.071531586265763,50.006928606448014,6498.066560024911,0.14780724152902275
2019-01-01,2019,1,ZIMA,22.134413656154123,50.006928606448014,8407.177550995644,0.14692818093950902
2019-01-01,2019,1,ZIMA,22.197295726042483,50.006928606448014,11820.603403628422,0.14752387277564216
2019-01-01,2019,1,ZIMA,22.260177795930872,50.006928606448014,15791.229496433658,0.1461924800864017
