Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,tropospheric_HCHO_column_number_density
2019-01-02,2019,1,ZIMA,16.286381156536038,52.144918982652484,20200.341012377103,1.2354098726063967E-4
2019-01-02,2019,1,ZIMA,16.349263226424398,52.144918982652484,22456.28074601566,1.2354098726063967E-4
2019-01-02,2019,1,ZIMA,15.909088737205849,52.33356519231759,16951.171151836963,1.4077661035116762E-4
2019-01-02,2019,1,ZIMA,15.971970807094209,52.33356519231759,12749.646344078456,1.4077661035116762E-4
2019-01-02,2019,1,ZIMA,16.03485287698257,52.33356519231759,8633.275323769649,1.9556252439561204E-4
2019-01-02,2019,1,ZIMA,16.09773494687093,52.33356519231759,4825.159146628991,3.422502272532978E-4
2019-01-02,2019,1,ZIMA,16.160617016759318,52.33356519231759,2966.4259868883673,1.070566795533523E-4
2019-01-02,2019,1,ZIMA,16.223499086647678,52.33356519231759,5575.475882175152,1.1924366449746855E-4
2019-01-02,2019,1,ZIMA,15.909088737205849,52.39644726220595,19414.676204899122,1.4077661035116762E-4
2019-01-02,2019,1,ZIMA,15.971970807094209,52.39644726220595,15884.521100356047,1.2156800779184054E-4
2019-01-02,2019,1,ZIMA,16.03485287698257,52.39644726220595,12822.751083944502,4.338661439911302E-5
2019-01-02,2019,1,ZIMA,16.09773494687093,52.39644726220595,10641.640461170891,1.5729874252160204E-4
2019-01-02,2019,1,ZIMA,16.160617016759318,52.39644726220595,9938.944700553953,1.0754760524539734E-4
2019-01-02,2019,1,ZIMA,16.223499086647678,52.39644726220595,11001.690043873443,1.8476759169280384E-4
2019-01-02,2019,1,ZIMA,16.286381156536038,52.39644726220595,13416.717953943013,2.143096353393048E-4
2019-01-02,2019,1,ZIMA,16.03485287698257,52.45932933209431,18767.98100934295,2.020506508415565E-4
2019-01-02,2019,1,ZIMA,16.09773494687093,52.45932933209431,17353.14074467398,1.8055368819499978E-4
2019-01-02,2019,1,ZIMA,16.160617016759318,52.45932933209431,16931.927376280884,1.2754613999277353E-4
2019-01-02,2019,1,ZIMA,16.09773494687093,52.52221140198267,24226.972736973774,2.020506508415565E-4
2019-01-02,2019,1,ZIMA,15.909088737205849,52.144918982652484,24618.948541667363,1.1495338397037775E-4
2019-01-02,2019,1,ZIMA,15.971970807094209,52.144918982652484,21926.554712064444,8.832483910778588E-5
2019-01-02,2019,1,ZIMA,16.03485287698257,52.144918982652484,19808.583001334784,9.79864372016784E-5
2019-01-02,2019,1,ZIMA,16.09773494687093,52.144918982652484,18463.777744525396,1.3195636067769273E-4
2019-01-02,2019,1,ZIMA,16.160617016759318,52.144918982652484,18065.63341219632,1.6599608352407813E-4
2019-01-02,2019,1,ZIMA,16.223499086647678,52.144918982652484,18674.79553977541,1.6599608352407813E-4
2019-01-03,2019,1,ZIMA,15.971970807094209,52.33356519231759,12749.646344078456,5.3848823881708086E-5
2019-01-03,2019,1,ZIMA,16.03485287698257,52.33356519231759,8633.275323769649,4.862672331588607E-5
2019-01-03,2019,1,ZIMA,16.09773494687093,52.33356519231759,4825.159146628991,4.2367981222923845E-5
2019-01-03,2019,1,ZIMA,15.909088737205849,52.39644726220595,19414.676204899122,5.3848823881708086E-5
2019-01-03,2019,1,ZIMA,15.971970807094209,52.39644726220595,15884.521100356047,5.3848823881708086E-5
2019-01-03,2019,1,ZIMA,16.03485287698257,52.39644726220595,12822.751083944502,4.6924244726472804E-5
2019-01-03,2019,1,ZIMA,16.09773494687093,52.39644726220595,10641.640461170891,4.2367981222923845E-5
2019-01-05,2019,1,ZIMA,16.286381156536038,52.144918982652484,20200.341012377103,1.8886200268752873E-4
2019-01-05,2019,1,ZIMA,16.349263226424398,52.144918982652484,22456.28074601566,1.8886200268752873E-4
2019-01-05,2019,1,ZIMA,16.286381156536038,52.207801052540844,14288.690035942283,-5.4541092818572244E-5
2019-01-05,2019,1,ZIMA,16.349263226424398,52.207801052540844,17328.067248921558,4.8844376348603535E-5
2019-01-05,2019,1,ZIMA,16.412145296312787,52.207801052540844,20814.180173633944,3.336067639892107E-5
2019-01-05,2019,1,ZIMA,16.475027366201147,52.207801052540844,24557.505811822277,8.080541297548393E-5
2019-01-05,2019,1,ZIMA,16.09773494687093,52.270683122429205,5589.38321530532,-3.7289471947588027E-5
2019-01-05,2019,1,ZIMA,16.160617016759318,52.270683122429205,4091.2359626174634,9.217571641784161E-5
2019-01-05,2019,1,ZIMA,16.223499086647678,52.270683122429205,6249.482521538161,9.217571641784161E-5
2019-01-05,2019,1,ZIMA,16.286381156536038,52.270683122429205,9909.328255967837,-2.3366560528528834E-4
2019-01-05,2019,1,ZIMA,16.349263226424398,52.270683122429205,13933.930424209007,-5.365873503760039E-5
2019-01-05,2019,1,ZIMA,16.412145296312787,52.270683122429205,18081.33950714123,-1.696887523898441E-4
2019-01-05,2019,1,ZIMA,16.475027366201147,52.270683122429205,22283.08656887413,9.275797679349565E-5
2019-01-05,2019,1,ZIMA,16.09773494687093,52.33356519231759,4825.159146628991,-1.1496218295844432E-5
2019-01-05,2019,1,ZIMA,16.160617016759318,52.33356519231759,2966.4259868883673,-4.6747773950858674E-5
2019-01-05,2019,1,ZIMA,16.223499086647678,52.33356519231759,5575.475882175152,2.1752853353973478E-4
2019-01-05,2019,1,ZIMA,16.286381156536038,52.33356519231759,9494.260735370926,-1.8467805698691163E-5
2019-01-05,2019,1,ZIMA,16.349263226424398,52.33356519231759,13636.89057608845,-4.622285268851556E-5
2019-01-05,2019,1,ZIMA,16.09773494687093,52.39644726220595,10641.640461170891,-1.2594432309727873E-4
2019-01-05,2019,1,ZIMA,16.160617016759318,52.39644726220595,9938.944700553953,-1.2493475514929742E-4
2019-01-05,2019,1,ZIMA,16.475027366201147,52.39644726220595,24025.427485898952,-1.315496047027409E-4
2019-01-05,2019,1,ZIMA,15.971970807094209,52.45932933209431,20976.34609659797,2.0317707094363868E-4
2019-01-05,2019,1,ZIMA,16.03485287698257,52.45932933209431,18767.98100934295,2.0317707094363868E-4
2019-01-05,2019,1,ZIMA,16.09773494687093,52.45932933209431,17353.14074467398,-2.6672810781747103E-4
2019-01-06,2019,1,ZIMA,15.971970807094209,52.33356519231759,12749.646344078456,1.250377099495381E-4
2019-01-06,2019,1,ZIMA,16.03485287698257,52.33356519231759,8633.275323769649,1.250377099495381E-4
2019-01-06,2019,1,ZIMA,15.971970807094209,52.39644726220595,15884.521100356047,1.250377099495381E-4
2019-01-06,2019,1,ZIMA,16.03485287698257,52.39644726220595,12822.751083944502,1.250377099495381E-4
2019-01-06,2019,1,ZIMA,15.909088737205849,52.45932933209431,23757.97670554968,1.4040963185267937E-4
2019-01-06,2019,1,ZIMA,15.971970807094209,52.45932933209431,20976.34609659797,8.247368650252183E-5
2019-01-06,2019,1,ZIMA,16.03485287698257,52.45932933209431,18767.98100934295,8.981461724033579E-5
2019-01-06,2019,1,ZIMA,16.223499086647678,52.52221140198267,24386.81431479422,-3.1535004382021725E-5
2019-01-07,2019,1,ZIMA,16.286381156536038,52.270683122429205,9909.328255967837,-3.284631748101674E-5
2019-01-07,2019,1,ZIMA,16.349263226424398,52.270683122429205,13933.930424209007,-3.284631748101674E-5
2019-01-07,2019,1,ZIMA,15.971970807094209,52.33356519231759,12749.646344078456,4.4725750922225416E-4
2019-01-07,2019,1,ZIMA,16.03485287698257,52.33356519231759,8633.275323769649,4.4725750922225416E-4
2019-01-07,2019,1,ZIMA,16.09773494687093,52.33356519231759,4825.159146628991,4.4725750922225416E-4
2019-01-07,2019,1,ZIMA,16.160617016759318,52.33356519231759,2966.4259868883673,2.0419459395524595E-4
2019-01-07,2019,1,ZIMA,16.223499086647678,52.33356519231759,5575.475882175152,6.123559440420543E-5
2019-01-07,2019,1,ZIMA,16.286381156536038,52.33356519231759,9494.260735370926,8.286690759062764E-5
2019-01-07,2019,1,ZIMA,16.349263226424398,52.33356519231759,13636.89057608845,9.377523874114324E-5
2019-01-07,2019,1,ZIMA,15.971970807094209,52.39644726220595,15884.521100356047,4.4725750922225416E-4
2019-01-07,2019,1,ZIMA,16.03485287698257,52.39644726220595,12822.751083944502,4.4725750922225416E-4
