Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
2017-01-01,00:00,2017,1,ZIMA,273.8875427246094,270.6449432373047,78.90860045506834,3.44451904296875,0.99005126953125,3.5839800437048743,196.03613365505876,101273.80859375,2.1159648895263672E-5
2017-01-01,01:00,2017,1,ZIMA,273.64881896972656,270.5720520019531,79.8473097673673,3.2854156494140625,1.109100341796875,3.4675725742352923,198.65380587609496,101189.69140625,2.1053478121757507E-5
2017-01-01,02:00,2017,1,ZIMA,273.7209777832031,270.33018493652344,78.02038818064739,3.11895751953125,1.3511199951171875,3.399032399058002,203.42206895648326,101107.50390625,5.807727575302124E-6
2017-01-01,03:00,2017,1,ZIMA,273.64137268066406,269.8702392578125,75.83121212099925,3.0340728759765625,1.56939697265625,3.4159339973891902,207.3506047969382,101013.73046875,3.3061951398849487E-6
2017-01-01,04:00,2017,1,ZIMA,273.59461975097656,269.2972106933594,72.8997375095045,3.03265380859375,1.632080078125,3.443932999375958,208.2877576155292,100961.12890625,1.3746321201324463E-6
2017-01-01,05:00,2017,1,ZIMA,273.5725555419922,268.80474853515625,70.36744570209422,3.0522308349609375,1.5699310302734375,3.4323164932304477,207.21926335713272,100915.7265625,7.338821887969971E-7
2017-01-01,06:00,2017,1,ZIMA,273.5762176513672,268.40771484375,68.27652945003867,2.979827880859375,1.5279083251953125,3.348712894493647,207.14650681047902,100900.1875,3.5762786865234375E-7
2017-01-01,07:00,2017,1,ZIMA,274.1897888183594,270.2353973388672,74.90028419262264,3.2643280029296875,1.9628143310546875,3.8089995286038802,211.01815672409117,100846.4375,8.568167686462402E-7
2017-01-01,08:00,2017,1,ZIMA,274.2663269042969,270.01661682128906,73.28735624094433,3.2253570556640625,2.1859283447265625,3.896307337056583,214.12675778105674,100827.18359375,2.376735210418701E-6
2017-01-01,09:00,2017,1,ZIMA,274.5425262451172,269.815185546875,70.77878739830227,2.9192352294921875,2.1758575439453125,3.6409188917980626,216.6990747020863,100774.12109375,3.121793270111084E-6
2017-01-01,10:00,2017,1,ZIMA,274.7842712402344,269.44683837890625,67.67668531120833,2.8721160888671875,2.033477783203125,3.5191025450689053,215.2987541078877,100732.1484375,0.0
2017-01-01,11:00,2017,1,ZIMA,274.91676330566406,269.12811279296875,65.45745579841629,3.095062255859375,1.8180389404296875,3.589523082049205,210.42996750059157,100681.359375,-7.450580596923828E-9
2017-01-01,12:00,2017,1,ZIMA,275.27598571777344,269.0994873046875,63.6637710092762,3.083770751953125,1.748779296875,3.5451193322341297,209.5571912285403,100606.11328125,0.0
2017-01-01,13:00,2017,1,ZIMA,275.2432403564453,269.2674865722656,64.62106027961295,3.091522216796875,1.764617919921875,3.559689034207633,209.71740358812772,100569.53515625,0.0
2017-01-01,14:00,2017,1,ZIMA,274.7265167236328,268.98411560058594,65.64133622763117,2.9744873046875,1.72332763671875,3.4376493231895746,210.08670015902823,100532.54296875,0.0
2017-01-01,15:00,2017,1,ZIMA,274.2533416748047,268.62001037597656,66.07360157987512,2.919342041015625,1.888824462890625,3.4770987624822123,212.9030077751575,100527.46875,8.672474791637796E-7
2017-01-01,16:00,2017,1,ZIMA,274.2186737060547,268.5729522705078,66.00410241194416,2.9917144775390625,1.9646759033203125,3.5791489100349416,213.29313359050877,100495.32421875,0.0
2017-01-01,17:00,2017,1,ZIMA,274.2928924560547,268.7204895019531,66.3862735098563,3.0543212890625,1.954965591430664,3.626398902561363,212.62190414063008,100480.38671875,0.0
2017-01-01,18:00,2017,1,ZIMA,274.28216552734375,268.91297912597656,67.405831282568,2.986419677734375,2.0369606018066406,3.614956567494492,214.2968997720356,100454.37109375,0.0
2017-01-01,19:00,2017,1,ZIMA,274.58836364746094,269.67333984375,69.80409538707598,3.14599609375,2.069194793701172,3.765482507749876,213.33384963050585,100406.1953125,4.2021281387860654E-7
2017-01-01,20:00,2017,1,ZIMA,274.48585510253906,269.54368591308594,69.64144539593903,3.1807403564453125,2.1105098724365234,3.8172452287967933,213.56538260018155,100385.8984375,0.0
2017-01-01,21:00,2017,1,ZIMA,274.37840270996094,269.2164611816406,68.48309783553239,3.4183197021484375,2.0360708236694336,3.978755331142405,210.77950778032383,100347.18359375,2.473747429121431E-6
2017-01-01,22:00,2017,1,ZIMA,273.9884948730469,268.8160400390625,68.345247859453,3.6157684326171875,1.9849567413330078,4.124782978930444,208.7655668941495,100326.296875,1.862645149230957E-6
2017-01-01,23:00,2017,1,ZIMA,273.69898986816406,268.51686096191406,68.23297380188514,3.80267333984375,1.9499149322509766,4.273463790951522,207.14760634052078,100294.7265625,5.960464477539062E-7
2017-01-02,00:00,2017,1,ZIMA,273.26336669921875,268.33399963378906,69.45236024065734,4.005340576171875,1.7844839096069336,4.384875819766723,204.01422164041924,100244.0703125,4.619138849193405E-7
