Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,tropospheric_NO2_column_number_density
2018-06-29,2018,6,LATO,16.412145296312787,51.4567179893799,23517.043967269667,2.1131752297452145E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.4567179893799,22772.62659844873,2.6774314596805568E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.4567179893799,22851.011200898953,1.734884980648374E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.4567179893799,23744.05053208679,1.6566960332833912E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.51960005926827,24807.246718080703,1.4095280640535396E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.51960005926827,21611.097036958035,5.681742499989504E-6
2018-06-29,2018,6,LATO,16.349263226424398,51.51960005926827,18885.507022782975,2.4581812986554244E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.51960005926827,16860.25247495507,2.582246953492687E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.51960005926827,15806.855111737126,4.170378254403035E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.51960005926827,15919.420211816787,2.6805754223992663E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.51960005926827,17175.038332149423,1.87421444966525E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.51960005926827,19352.487673847307,2.0860139557044022E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.51960005926827,22181.940709400908,2.0452775128700917E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.58248212915663,21072.536768177568,2.9673778183956542E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.58248212915663,17201.63278041619,3.1360405387782416E-5
2018-06-29,2018,6,LATO,16.349263226424398,51.58248212915663,13626.114154431987,3.2002004289419795E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.58248212915663,10647.833503178314,2.303928176422828E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.58248212915663,8888.886215353503,2.6143964173099257E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.58248212915663,9087.27949586214,3.8234357675767375E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.58248212915663,11138.915600213119,3.249457373612062E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.58248212915663,14265.441204712586,2.962365570621777E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.58248212915663,17912.58561168473,2.8798712563352406E-5
2018-06-29,2018,6,LATO,16.789437715642975,51.58248212915663,21820.84012504016,2.8983052053966342E-5
2018-06-29,2018,6,LATO,16.160617016759318,51.645364199045005,23588.71070254607,2.5861891748033667E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.645364199045005,19250.929846389092,2.3795225111142358E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.645364199045005,14921.368835682293,2.004748749841172E-5
2018-06-29,2018,6,LATO,16.349263226424398,51.645364199045005,10610.100200225701,1.9937844119325134E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.645364199045005,6354.472204682528,2.1602416243910932E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.645364199045005,2462.2307284091116,1.6652506989625025E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.645364199045005,3102.260844423007,2.3374319745947066E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.645364199045005,7145.883514123202,3.76182539467742E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.645364199045005,11418.46931755904,4.134425060536068E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.645364199045005,15734.590269498734,2.5281275156885386E-5
2018-06-29,2018,6,LATO,16.789437715642975,51.645364199045005,20066.171338605425,2.7656310365743845E-5
2018-06-29,2018,6,LATO,16.852319785531336,51.645364199045005,24404.9796212598,2.8687827649395926E-5
2018-06-29,2018,6,LATO,16.160617016759318,51.708246268933365,24095.92384830232,2.1317302128596575E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.708246268933365,19875.65707543296,1.2983135013446174E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.708246268933365,15725.630274729023,2.784872017112224E-5
2018-06-29,2018,6,LATO,16.349263226424398,51.708246268933365,11720.698401547697,2.248714093680424E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.708246268933365,8079.592320706336,2.5462914645953815E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.708246268933365,5568.72023321114,2.5159179734162253E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.708246268933365,5879.383046502123,2.553125516773459E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.708246268933365,8714.892398446966,3.118509630439803E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.708246268933365,12456.2168771407,2.6856790270292228E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.708246268933365,16498.21288010244,2.095508982595817E-5
2018-06-29,2018,6,LATO,16.789437715642975,51.708246268933365,20665.19580781198,3.146697817183845E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.77112833882174,22746.108814144965,1.61947131395706E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.77112833882174,19231.332412257012,2.0317990682661884E-5
2018-06-29,2018,6,LATO,16.349263226424398,51.77112833882174,16126.873330203896,2.035468428364891E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.77112833882174,13714.271128731714,1.0688069606578576E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.77112833882174,12404.018464846613,1.1909947374096146E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.77112833882174,12546.363521747478,2.1657111987248376E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.77112833882174,14097.37364669129,2.0814375229295875E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.77112833882174,16668.35087540233,1.7928438634858106E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.77112833882174,19867.18859130457,1.8300546568713955E-5
2018-06-29,2018,6,LATO,16.789437715642975,51.77112833882174,23438.208975259255,1.747731584736655E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.8340104087101,24296.02620615098,1.3595559456614688E-5
2018-06-29,2018,6,LATO,16.349263226424398,51.8340104087101,21924.44924063889,2.122839396179188E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.8340104087101,20218.47675795856,9.138247732855812E-6
2018-06-29,2018,6,LATO,16.475027366201147,51.8340104087101,19354.91709038885,1.06387727001419E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.8340104087101,19446.322118391916,1.2534951565612573E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.8340104087101,20479.90958593921,1.5675409481654586E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.8340104087101,22325.20211383054,1.71808276029785E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.8340104087101,24801.680343393746,2.0369744402253622E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.4567179893799,23517.043967269667,1.860552220023237E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.4567179893799,22772.62659844873,1.860552220023237E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.4567179893799,22851.011200898953,1.9883236093549983E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.4567179893799,23744.05053208679,2.0796134605856987E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.51960005926827,15919.420211816787,1.9522664961150027E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.51960005926827,17175.038332149423,1.870579206478884E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.51960005926827,19352.487673847307,1.8250712824475827E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.51960005926827,22181.940709400908,1.7822353071148317E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.58248212915663,21072.536768177568,2.53198086284101E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.58248212915663,17201.63278041619,2.53198086284101E-5
2018-06-29,2018,6,LATO,16.349263226424398,51.58248212915663,13626.114154431987,2.53198086284101E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.58248212915663,9087.27949586214,1.1494123100419529E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.58248212915663,11138.915600213119,1.1494123100419529E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.58248212915663,14265.441204712586,1.1494123100419529E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.58248212915663,17912.58561168473,1.9972890908308435E-5
2018-06-29,2018,6,LATO,16.789437715642975,51.58248212915663,21820.84012504016,2.0363760571530464E-5
2018-06-29,2018,6,LATO,16.160617016759318,51.645364199045005,23588.71070254607,2.8047863514889345E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.645364199045005,19250.929846389092,2.8210030649444658E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.645364199045005,14921.368835682293,2.8535126011922773E-5
2018-06-29,2018,6,LATO,16.349263226424398,51.645364199045005,10610.100200225701,3.0392950400444626E-5
2018-06-29,2018,6,LATO,16.412145296312787,51.645364199045005,6354.472204682528,3.1789699278306216E-5
2018-06-29,2018,6,LATO,16.475027366201147,51.645364199045005,2462.2307284091116,3.1789699278306216E-5
2018-06-29,2018,6,LATO,16.537909436089507,51.645364199045005,3102.260844423007,2.128770350370038E-5
2018-06-29,2018,6,LATO,16.600791505977867,51.645364199045005,7145.883514123202,2.111423782480415E-5
2018-06-29,2018,6,LATO,16.663673575866255,51.645364199045005,11418.46931755904,2.111423782480415E-5
2018-06-29,2018,6,LATO,16.726555645754615,51.645364199045005,15734.590269498734,1.9073469957220368E-5
2018-06-29,2018,6,LATO,16.789437715642975,51.645364199045005,20066.171338605425,1.9073469957220368E-5
2018-06-29,2018,6,LATO,16.852319785531336,51.645364199045005,24404.9796212598,1.9073469957220368E-5
2018-06-29,2018,6,LATO,16.160617016759318,51.708246268933365,24095.92384830232,2.720087658845828E-5
2018-06-29,2018,6,LATO,16.223499086647678,51.708246268933365,19875.65707543296,2.667308748256905E-5
2018-06-29,2018,6,LATO,16.286381156536038,51.708246268933365,15725.630274729023,2.5617509270791444E-5
