Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,tropospheric_HCHO_column_number_density
2019-01-03,2019,1,ZIMA,15.909088737205849,51.70474449343391,19786.950956389974,1.1137470573885366E-4
2019-01-03,2019,1,ZIMA,15.971970807094209,51.70474449343391,15523.929302788594,1.1137470573885366E-4
2019-01-03,2019,1,ZIMA,15.846206667317489,51.767626563322295,24092.440746425567,2.3648034898562188E-4
2019-01-03,2019,1,ZIMA,15.909088737205849,51.767626563322295,19809.327812651354,9.89467543207907E-5
2019-01-03,2019,1,ZIMA,15.971970807094209,51.767626563322295,15559.151635925364,1.0124305261687011E-4
2019-01-03,2019,1,ZIMA,15.909088737205849,51.830508633210655,22162.973907237712,8.417256321990862E-5
2019-01-03,2019,1,ZIMA,15.971970807094209,51.830508633210655,18468.462775397853,8.417256321990862E-5
2019-01-03,2019,1,ZIMA,15.971970807094209,51.893390703099016,23194.541201372773,-7.584316566591786E-5
2019-01-03,2019,1,ZIMA,16.03485287698257,51.893390703099016,20632.302973168386,-9.061772956108551E-5
2019-01-09,2019,1,ZIMA,16.412145296312787,51.57898035365719,23157.1440688789,3.243033279431984E-5
2019-01-17,2019,1,ZIMA,16.160617016759318,51.893390703099016,17718.074850712397,-4.18082854594104E-5
2019-01-17,2019,1,ZIMA,16.223499086647678,51.893390703099016,17733.107617659625,-4.18082854594104E-5
2019-01-17,2019,1,ZIMA,16.160617016759318,51.956272772987376,24679.031155370227,-4.18082854594104E-5
2019-01-17,2019,1,ZIMA,16.223499086647678,51.956272772987376,24689.810946027614,-4.18082854594104E-5
2019-01-18,2019,1,ZIMA,16.286381156536038,51.57898035365719,18596.35323945077,2.5132394512183964E-4
2019-01-18,2019,1,ZIMA,16.349263226424398,51.57898035365719,20545.151013608243,2.5132394512183964E-4
2019-01-18,2019,1,ZIMA,16.412145296312787,51.57898035365719,23157.1440688789,2.5132394512183964E-4
2019-01-18,2019,1,ZIMA,15.971970807094209,51.64186242354555,18379.24073992291,1.5770843310747296E-4
2019-01-18,2019,1,ZIMA,16.03485287698257,51.64186242354555,14995.85628726125,1.5770843310747296E-4
2019-01-18,2019,1,ZIMA,16.09773494687093,51.64186242354555,12238.213372860684,1.5770843310747296E-4
2019-01-18,2019,1,ZIMA,16.160617016759318,51.64186242354555,10606.175987524979,-2.19850946450606E-4
2019-01-18,2019,1,ZIMA,16.223499086647678,51.64186242354555,10631.409520385201,-2.19850946450606E-4
2019-01-18,2019,1,ZIMA,16.286381156536038,51.64186242354555,12303.721728513206,-2.19850946450606E-4
2019-01-18,2019,1,ZIMA,16.475027366201147,51.64186242354555,22211.691350422672,1.1895650823134929E-4
2019-01-18,2019,1,ZIMA,15.971970807094209,51.70474449343391,15523.929302788594,1.5770843310747296E-4
2019-01-18,2019,1,ZIMA,16.03485287698257,51.70474449343391,11323.771036421354,1.5770843310747296E-4
2019-01-18,2019,1,ZIMA,16.09773494687093,51.70474449343391,7295.871777251886,1.5770843310747296E-4
2019-01-18,2019,1,ZIMA,16.160617016759318,51.70474449343391,3999.79031454917,-2.19850946450606E-4
2019-01-18,2019,1,ZIMA,16.223499086647678,51.70474449343391,4066.1384068398784,-2.19850946450606E-4
2019-01-18,2019,1,ZIMA,16.286381156536038,51.70474449343391,7405.081120681256,-2.19850946450606E-4
2019-01-18,2019,1,ZIMA,16.475027366201147,51.70474449343391,19908.286292424542,1.1895650823134929E-4
2019-01-18,2019,1,ZIMA,16.537909436089507,51.70474449343391,24201.395943962296,1.1895650823134929E-4
2019-01-18,2019,1,ZIMA,15.846206667317489,51.767626563322295,24092.440746425567,-2.6873478418565355E-5
2019-01-18,2019,1,ZIMA,15.909088737205849,51.767626563322295,19809.327812651354,-2.6873478418565355E-5
2019-01-18,2019,1,ZIMA,15.971970807094209,51.767626563322295,15559.151635925364,3.831806386857547E-5
2019-01-18,2019,1,ZIMA,16.03485287698257,51.767626563322295,11378.884299824744,1.0615722567308694E-4
2019-01-18,2019,1,ZIMA,16.09773494687093,51.767626563322295,7388.165024873123,1.0615722567308694E-4
2019-01-18,2019,1,ZIMA,16.286381156536038,51.767626563322295,7495.881338708595,3.220409553250647E-6
2019-01-18,2019,1,ZIMA,16.349263226424398,51.767626563322295,11495.699126025867,3.220409553250647E-6
2019-01-18,2019,1,ZIMA,16.412145296312787,51.767626563322295,15678.906967849154,3.220409553250647E-6
2019-01-18,2019,1,ZIMA,16.475027366201147,51.767626563322295,19930.359334641777,3.220409553250647E-6
2019-01-18,2019,1,ZIMA,15.909088737205849,51.830508633210655,22162.973907237712,1.2703365268945473E-4
2019-01-18,2019,1,ZIMA,15.971970807094209,51.830508633210655,18468.462775397853,5.9732907452105046E-5
2019-01-18,2019,1,ZIMA,16.03485287698257,51.830508633210655,15120.599573539797,2.4748227816046217E-5
2019-01-18,2019,1,ZIMA,16.09773494687093,51.830508633210655,12403.336236458732,1.5360194901596143E-5
2019-01-18,2019,1,ZIMA,16.160617016759318,51.830508633210655,10803.460837116612,5.2260133998061065E-6
