Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,NO2_column_number_density
2018-06-28,2018,6,LATO,16.600791505977867,51.393835919491536,24592.391791384794,9.873909575641231E-5
2018-06-28,2018,6,LATO,16.663673575866255,51.393835919491536,22943.09611646001,9.916479546147284E-5
2018-06-28,2018,6,LATO,16.726555645754615,51.393835919491536,22048.390964679053,1.074300438433379E-4
2018-06-28,2018,6,LATO,16.789437715642975,51.393835919491536,22000.530130689553,1.0578504604448832E-4
2018-06-28,2018,6,LATO,16.852319785531336,51.393835919491536,22804.845994440042,1.0414282526154175E-4
2018-06-28,2018,6,LATO,16.915201855419696,51.393835919491536,24377.13328868273,9.963971617531233E-5
2018-06-28,2018,6,LATO,16.475027366201147,51.4567179893799,24855.439144998345,8.959700625614911E-5
2018-06-28,2018,6,LATO,16.537909436089507,51.4567179893799,21524.704726132088,8.588551644207778E-5
2018-06-28,2018,6,LATO,16.600791505977867,51.4567179893799,18625.966511761977,8.814604592386148E-5
2018-06-28,2018,6,LATO,16.663673575866255,51.4567179893799,16390.059877286472,8.214161815949185E-5
2018-06-28,2018,6,LATO,16.726555645754615,51.4567179893799,15114.07204956392,8.863666258960445E-5
2018-06-28,2018,6,LATO,16.789437715642975,51.4567179893799,15044.262999171058,9.709940018634564E-5
2018-06-28,2018,6,LATO,16.852319785531336,51.4567179893799,16196.236580393892,9.576377357325954E-5
2018-06-28,2018,6,LATO,16.915201855419696,51.4567179893799,18341.20974764378,9.590788189621849E-5
2018-06-28,2018,6,LATO,16.978083925308084,51.4567179893799,21179.60318581531,8.809016675425749E-5
2018-06-28,2018,6,LATO,17.040965995196444,51.4567179893799,24471.307166109156,9.987903113105089E-5
2018-06-28,2018,6,LATO,16.475027366201147,51.51960005926827,21388.10624293274,8.62301932155856E-5
2018-06-28,2018,6,LATO,16.537909436089507,51.51960005926827,17412.16389103382,8.506351470974085E-5
2018-06-28,2018,6,LATO,16.600791505977867,51.51960005926827,13673.223624080385,8.897795919640729E-5
2018-06-28,2018,6,LATO,16.663673575866255,51.51960005926827,10429.38041429864,8.334833999713875E-5
2018-06-28,2018,6,LATO,16.726555645754615,51.51960005926827,8284.219730561903,9.391993433914274E-5
2018-06-28,2018,6,LATO,16.789437715642975,51.51960005926827,8156.338999366163,1.0163448571153079E-4
2018-06-28,2018,6,LATO,16.852319785531336,51.51960005926827,10122.483089579691,1.0115625649160583E-4
2018-06-28,2018,6,LATO,16.915201855419696,51.51960005926827,13283.254360076246,9.755448876274087E-5
2018-06-28,2018,6,LATO,16.978083925308084,51.51960005926827,16984.29797906396,9.432900824691445E-5
2018-06-28,2018,6,LATO,17.040965995196444,51.51960005926827,20941.087659939458,1.0636721839458683E-4
2018-06-28,2018,6,LATO,16.412145296312787,51.58248212915663,24229.01521982702,8.169415288751657E-5
2018-06-28,2018,6,LATO,16.475027366201147,51.58248212915663,19874.64268747228,7.982522386061126E-5
2018-06-28,2018,6,LATO,16.537909436089507,51.58248212915663,15522.446196072573,8.120086818105784E-5
2018-06-28,2018,6,LATO,16.600791505977867,51.58248212915663,11174.973571349472,7.637717445783473E-5
2018-06-28,2018,6,LATO,16.663673575866255,51.58248212915663,6841.242800362541,7.403649451067844E-5
2018-06-28,2018,6,LATO,16.726555645754615,51.58248212915663,2591.158113102159,9.01028067157446E-5
2018-06-28,2018,6,LATO,16.789437715642975,51.58248212915663,2148.151541162981,9.633085439588864E-5
2018-06-28,2018,6,LATO,16.852319785531336,51.58248212915663,6364.27275074551,9.580919062883191E-5
2018-06-28,2018,6,LATO,16.915201855419696,51.58248212915663,10694.966750416692,9.44418904834826E-5
2018-06-28,2018,6,LATO,16.978083925308084,51.58248212915663,15041.593600268943,9.219810202304813E-5
2018-06-28,2018,6,LATO,17.040965995196444,51.58248212915663,19393.44109754177,9.544198242174297E-5
2018-06-28,2018,6,LATO,17.103848065084804,51.58248212915663,23747.636970217263,9.460603252654677E-5
2018-06-28,2018,6,LATO,16.475027366201147,51.645364199045005,20747.208803848604,7.862489774660396E-5
2018-06-28,2018,6,LATO,16.537909436089507,51.645364199045005,16631.42523496084,8.003103788817195E-5
2018-06-28,2018,6,LATO,16.600791505977867,51.645364199045005,12676.682614894326,8.521775909139552E-5
2018-06-28,2018,6,LATO,16.663673575866255,51.645364199045005,9095.532248013915,8.011533152437611E-5
2018-06-28,2018,6,LATO,16.726555645754615,51.645364199045005,6534.19139202076,8.581893160685299E-5
2018-06-28,2018,6,LATO,16.789437715642975,51.645364199045005,6371.736129659632,8.388535249538549E-5
