Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,tropospheric_HCHO_column_number_density
2020-02-13,2020,2,ZIMA,22.448824005595952,50.32133895588984,11415.811114992779,-5.6612389693873924E-5
2020-02-13,2020,2,ZIMA,22.511706075484312,50.32133895588984,15580.574221677898,-5.3264518126534146E-5
2020-02-13,2020,2,ZIMA,22.5745881453727,50.32133895588984,19881.15014193164,-5.732131489235641E-5
2020-02-13,2020,2,ZIMA,22.63747021526106,50.32133895588984,24245.373643079565,3.004709854178768E-5
2020-02-13,2020,2,ZIMA,22.008649516377403,50.38422102577823,21104.785907664467,-2.9322663271723875E-6
2020-02-13,2020,2,ZIMA,22.071531586265763,50.38422102577823,16660.156338168956,-3.018455143833553E-6
2020-02-13,2020,2,ZIMA,22.134413656154123,50.38422102577823,12236.379161301054,1.586614025324724E-4
2020-02-13,2020,2,ZIMA,22.197295726042483,50.38422102577823,7868.708760528568,1.5805240391697023E-4
2020-02-13,2020,2,ZIMA,22.260177795930872,50.38422102577823,3758.1492136444417,-5.902471177437375E-5
2020-02-13,2020,2,ZIMA,22.323059865819232,50.38422102577823,2519.9863047166164,-3.319152642341512E-5
2020-02-13,2020,2,ZIMA,22.385941935707592,50.38422102577823,6212.606707617907,8.93797295650098E-6
2020-02-13,2020,2,ZIMA,22.448824005595952,50.38422102577823,10529.110391999471,-4.7817797997066E-5
2020-02-13,2020,2,ZIMA,22.511706075484312,50.38422102577823,14938.116168697954,-2.2178585740869017E-4
2020-02-13,2020,2,ZIMA,22.5745881453727,50.38422102577823,19376.579870782436,-1.9529904431293772E-4
2020-02-13,2020,2,ZIMA,22.63747021526106,50.38422102577823,23828.043457219832,1.648526035265075E-5
2020-02-13,2020,2,ZIMA,22.008649516377403,50.44710309566659,22877.19883780375,4.860818484111222E-5
2020-02-13,2020,2,ZIMA,22.071531586265763,50.44710309566659,18860.99391067797,4.882268174005681E-5
2020-02-13,2020,2,ZIMA,22.134413656154123,50.44710309566659,15102.132492264856,1.926942391228542E-4
2020-02-13,2020,2,ZIMA,22.197295726042483,50.44710309566659,11848.134307637325,1.9351012102530806E-4
2020-02-13,2020,2,ZIMA,22.260177795930872,50.44710309566659,9625.423828660774,-1.2281071302169887E-5
2020-02-13,2020,2,ZIMA,22.323059865819232,50.44710309566659,9213.346168892997,6.469527680794442E-6
2020-02-13,2020,2,ZIMA,22.385941935707592,50.44710309566659,10820.77191694323,1.526471398285393E-5
2020-02-13,2020,2,ZIMA,22.448824005595952,50.44710309566659,13757.145302235933,9.473751861146974E-5
2020-02-13,2020,2,ZIMA,22.511706075484312,50.44710309566659,17360.74851862058,1.3821882707485902E-4
2020-02-13,2020,2,ZIMA,22.5745881453727,50.44710309566659,21295.50725653865,9.485781659913265E-5
2020-02-13,2020,2,ZIMA,22.071531586265763,50.50998516555495,23060.187287866862,1.0507222611190903E-5
2020-02-13,2020,2,ZIMA,22.134413656154123,50.50998516555495,20106.688930623663,1.1110818216493194E-4
2020-02-13,2020,2,ZIMA,22.197295726042483,50.50998516555495,17796.04538642206,1.1034703340730534E-4
2020-02-13,2020,2,ZIMA,22.260177795930872,50.50998516555495,16402.227537209837,2.0397924854868506E-5
2020-02-13,2020,2,ZIMA,22.323059865819232,50.50998516555495,16164.167890959687,-6.203755945878307E-5
2020-02-13,2020,2,ZIMA,22.385941935707592,50.50998516555495,17130.118604431253,-6.576263153079927E-5
2020-02-13,2020,2,ZIMA,22.448824005595952,50.50998516555495,19118.449247078777,6.829081585313257E-5
2020-02-13,2020,2,ZIMA,22.511706075484312,50.50998516555495,21851.838068523924,1.5721168892923743E-4
2020-02-13,2020,2,ZIMA,22.197295726042483,50.57286723544331,24308.075427711312,2.055833241480844E-5
2020-02-13,2020,2,ZIMA,22.260177795930872,50.57286723544331,23308.360918262824,8.66133630585834E-5
2020-02-13,2020,2,ZIMA,22.323059865819232,50.57286723544331,23141.67752629228,1.36993076169588E-4
2020-02-13,2020,2,ZIMA,22.385941935707592,50.57286723544331,23825.51499120187,1.360528995690577E-4
2020-02-16,2020,2,ZIMA,22.134413656154123,50.19557481611312,22401.188316447893,9.562953418566899E-6
