Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,CO_column_number_density
2018-07-04,2018,7,LATO,17.292494274749913,51.58248212915663,24684.269584364767,0.026948653161525726
2018-07-04,2018,7,LATO,17.355376344638273,51.58248212915663,20457.583365318416,0.026948653161525726
2018-07-04,2018,7,LATO,17.418258414526633,51.58248212915663,16301.820706024924,0.026948653161525726
2018-07-04,2018,7,LATO,17.481140484414993,51.58248212915663,12289.149961321284,0.026948653161525726
2018-07-04,2018,7,LATO,17.544022554303382,51.58248212915663,8621.737813272484,0.026948653161525726
2018-07-04,2018,7,LATO,17.606904624191742,51.58248212915663,5973.5171350741,0.026948653161525726
2018-07-04,2018,7,LATO,17.669786694080102,51.58248212915663,5921.885697677561,0.026948653161525726
2018-07-04,2018,7,LATO,17.732668763968462,51.58248212915663,8514.213178233287,0.026948653161525726
2018-07-05,2018,7,LATO,17.544022554303382,51.330953849603176,23409.861349775765,0.02812287025153637
2018-07-05,2018,7,LATO,17.606904624191742,51.330953849603176,22564.512089770058,0.02812287025153637
2018-07-05,2018,7,LATO,17.481140484414993,51.393835919491536,18967.643643279323,0.02812287025153637
2018-07-05,2018,7,LATO,17.544022554303382,51.393835919491536,16815.638988400857,0.02812287025153637
2018-07-05,2018,7,LATO,17.606904624191742,51.393835919491536,15619.043361437369,0.02812287025153637
2018-07-05,2018,7,LATO,17.669786694080102,51.393835919491536,15599.288424948456,0.02812287025153637
2018-07-05,2018,7,LATO,17.418258414526633,51.4567179893799,17531.11442087116,0.02774830535054207
2018-07-05,2018,7,LATO,17.481140484414993,51.4567179893799,13867.134815186748,0.02774830535054207
2018-07-05,2018,7,LATO,17.544022554303382,51.4567179893799,10742.305824318093,0.02774830535054207
2018-07-05,2018,7,LATO,17.606904624191742,51.4567179893799,8754.377632470254,0.028122870251536373
2018-07-05,2018,7,LATO,17.669786694080102,51.4567179893799,8719.131693592259,0.02812287025153637
2018-07-05,2018,7,LATO,17.355376344638273,51.51960005926827,19762.902569243946,0.030844679102301598
2018-07-05,2018,7,LATO,17.418258414526633,51.51960005926827,15414.22098885302,0.029006352643160455
2018-07-05,2018,7,LATO,17.481140484414993,51.51960005926827,11077.624788114832,0.02774830535054207
2018-07-05,2018,7,LATO,17.544022554303382,51.51960005926827,6776.362576312879,0.02774830535054207
2018-07-05,2018,7,LATO,17.606904624191742,51.51960005926827,2685.9308898801396,0.027462108060717583
2018-07-05,2018,7,LATO,17.669786694080102,51.51960005926827,2568.890429132699,0.027462108060717583
2018-07-05,2018,7,LATO,17.292494274749913,51.58248212915663,24684.269584364767,0.030078724376038753
2018-07-05,2018,7,LATO,17.355376344638273,51.58248212915663,20457.583365318416,0.03038284368813038
2018-07-05,2018,7,LATO,17.418258414526633,51.58248212915663,16301.820706024924,0.030628475702183054
2018-07-05,2018,7,LATO,17.481140484414993,51.58248212915663,12289.149961321284,0.030844679102301598
2018-07-05,2018,7,LATO,17.544022554303382,51.58248212915663,8621.737813272484,0.030742897328289175
2018-07-05,2018,7,LATO,17.606904624191742,51.58248212915663,5973.5171350741,0.027462108060717583
2018-07-05,2018,7,LATO,17.669786694080102,51.58248212915663,5921.885697677561,0.027462108060717583
2018-07-05,2018,7,LATO,17.732668763968462,51.58248212915663,8514.213178233287,0.027462108060717583
2018-07-05,2018,7,LATO,17.79555083385685,51.58248212915663,12163.564887146136,0.027055660593793596
2018-07-05,2018,7,LATO,17.85843290374521,51.58248212915663,16169.418860052541,0.026754822582006454
2018-07-05,2018,7,LATO,17.92131497363357,51.58248212915663,20322.035146681606,0.026754822582006454
2018-07-05,2018,7,LATO,17.98419704352193,51.58248212915663,24547.040796575213,0.02763116438466741
2018-07-05,2018,7,LATO,17.355376344638273,51.645364199045005,23331.292460485627,0.031990066170692444
