Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,CH4_column_volume_mixing_ratio_dry_air
2019-02-05,2019,2,ZIMA,17.512656463910073,51.32745207410372,24481.747060338876,1815.4904913143748
2019-02-05,2019,2,ZIMA,17.575538533798436,51.32745207410372,23268.202836852244,1817.142691342825
2019-02-05,2019,2,ZIMA,17.638420603686804,51.32745207410372,22841.02379795834,1827.152482898751
2019-02-05,2019,2,ZIMA,17.70130267357517,51.32745207410372,23243.605987184383,1830.366333902412
2019-02-05,2019,2,ZIMA,17.764184743463538,51.32745207410372,24434.971852028975,1850.5243911495538
2019-02-05,2019,2,ZIMA,17.38689232413334,51.39033414399208,23641.706381255455,1813.5976687598147
2019-02-05,2019,2,ZIMA,17.449774394021706,51.39033414399208,20607.469992068698,1811.6083297211883
2019-02-05,2019,2,ZIMA,17.512656463910073,51.39033414399208,18127.407415179572,1810.7844213666622
2019-02-05,2019,2,ZIMA,17.575538533798436,51.39033414399208,16454.04275878798,1810.7844255260957
2019-02-05,2019,2,ZIMA,17.764184743463538,51.39033414399208,18064.272486121226,1848.7846679687855
2019-02-05,2019,2,ZIMA,17.827066813351905,51.39033414399208,20524.141332098487,1848.7846679687214
2019-02-05,2019,2,ZIMA,17.88994888324027,51.39033414399208,23544.858402743786,1841.3407510194243
2019-02-05,2019,2,ZIMA,17.70130267357517,51.45321621388044,9839.10546099489,1818.9918023579135
2019-02-05,2019,2,ZIMA,17.764184743463538,51.45321621388044,12387.702666587038,1820.1264648437852
2019-02-05,2019,2,ZIMA,17.827066813351905,51.45321621388044,15755.873983799456,1820.126464843722
2019-02-05,2019,2,ZIMA,17.88994888324027,51.45321621388044,19523.961676905423,1824.0738525390939
2019-02-05,2019,2,ZIMA,17.952830953128636,51.45321621388044,23500.374522811093,1824.0738525390977
2019-02-05,2019,2,ZIMA,17.70130267357517,51.51609828376883,4681.163383275066,1804.4642339047966
2019-02-05,2019,2,ZIMA,17.764184743463538,51.51609828376883,8859.049040272603,1805.2617255879957
2019-02-05,2019,2,ZIMA,17.827066813351905,51.51609828376883,13158.454406174082,1807.5144025142226
2019-02-05,2019,2,ZIMA,17.88994888324027,51.51609828376883,17489.989605776536,1823.6512820386881
2019-02-05,2019,2,ZIMA,17.952830953128636,51.51609828376883,21834.539010409397,1823.6845480689929
2019-02-05,2019,2,ZIMA,17.70130267357517,51.57898035365719,6701.633330797314,1835.6788330078796
2019-02-05,2019,2,ZIMA,17.764184743463538,51.57898035365719,10069.924009852337,1835.678833007848
2019-02-05,2019,2,ZIMA,17.827066813351905,51.57898035365719,13997.68284427721,1835.678834805819
2019-02-16,2019,2,ZIMA,17.572036758298985,51.32745207410372,23315.884686086833,1833.7373912959986
2019-02-16,2019,2,ZIMA,17.634918828187352,51.32745207410372,22843.019327359605,1833.7374308617427
2019-02-16,2019,2,ZIMA,17.760682967964087,51.32745207410372,24349.51554368742,1828.0223216800819
2019-02-16,2019,2,ZIMA,17.69780089807572,51.39033414399208,16357.168116886405,1826.2123288738746
2019-02-16,2019,2,ZIMA,17.760682967964087,51.39033414399208,17948.668538837668,1828.0223388672227
2019-02-16,2019,2,ZIMA,17.823565037852454,51.39033414399208,20370.3214079851,1828.0223411869301
2019-02-16,2019,2,ZIMA,17.69780089807572,51.45321621388044,9735.229358977142,1816.7623186996223
2019-02-16,2019,2,ZIMA,17.760682967964087,51.45321621388044,12218.741430315835,1816.762325565794
2019-02-16,2019,2,ZIMA,17.823565037852454,51.45321621388044,15555.249971881247,1816.7623274906073
2019-02-16,2019,2,ZIMA,17.572036758298985,51.51609828376883,5026.404024731279,1843.803333851569
2019-02-16,2019,2,ZIMA,17.634918828187352,51.51609828376883,1878.1347703667773,1843.8032911209077
2019-02-16,2019,2,ZIMA,17.94932917762919,51.51609828376883,21592.391447549882,1841.735226343931
2019-02-16,2019,2,ZIMA,17.509154688410618,51.57898035365719,10392.61088712991,1844.2174336494388
2019-02-16,2019,2,ZIMA,17.572036758298985,51.57898035365719,6946.849125500159,1844.0094934775016
2019-02-16,2019,2,ZIMA,17.634918828187352,51.57898035365719,5152.802002459204,1843.9695429999915
2019-02-16,2019,2,ZIMA,17.88644710774082,51.57898035365719,17892.014823990092,1841.4769301159572
2019-02-16,2019,2,ZIMA,17.94932917762919,51.57898035365719,22104.701679352234,1841.4769287109732
2019-02-16,2019,2,ZIMA,17.383390548633884,51.64186242354555,21496.687889925153,1834.3712913716317
2019-02-16,2019,2,ZIMA,17.44627261852225,51.64186242354555,18068.400373366625,1834.442871093817
2019-02-16,2019,2,ZIMA,17.509154688410618,51.64186242354555,15126.609409403543,1847.4779363619757
2019-02-16,2019,2,ZIMA,17.572036758298985,51.64186242354555,13005.740939608204,1849.9363520312265
2019-02-16,2019,2,ZIMA,17.634918828187352,51.64186242354555,12143.80336075859,1846.4559888378385
2019-02-16,2019,2,ZIMA,17.69780089807572,51.64186242354555,12797.741608118524,1844.8350740886153
2019-02-16,2019,2,ZIMA,17.760682967964087,51.64186242354555,14767.534561147131,1849.1524731589877
2019-02-16,2019,2,ZIMA,17.823565037852454,51.64186242354555,17617.19970330262,1849.1524589507599
2019-02-16,2019,2,ZIMA,17.88644710774082,51.64186242354555,20991.40548837821,1839.8496150570757
2019-02-16,2019,2,ZIMA,17.94932917762919,51.64186242354555,24675.90130933698,1839.5248944464377
2019-02-16,2019,2,ZIMA,17.44627261852225,51.70474449343391,23346.0844129834,1840.6862090147565
2019-02-16,2019,2,ZIMA,17.509154688410618,51.70474449343391,21154.717942785643,1848.7324854432106
2019-02-16,2019,2,ZIMA,17.572036758298985,51.70474449343391,19696.184181183893,1849.1182239064221
2019-02-16,2019,2,ZIMA,17.634918828187352,51.70474449343391,19138.76490567737,1842.800480351849
2019-02-16,2019,2,ZIMA,17.69780089807572,51.70474449343391,19559.65210903362,1844.812141386913
2019-02-16,2019,2,ZIMA,17.760682967964087,51.70474449343391,20899.82579823401,1849.152465820348
2019-02-16,2019,2,ZIMA,17.823565037852454,51.70474449343391,22999.143124699116,1849.1524658202839
2019-02-17,2019,2,ZIMA,17.509154688410618,51.32745207410372,24570.453995192333,1814.2730589601215
2019-02-17,2019,2,ZIMA,17.572036758298985,51.32745207410372,23315.884686086833,1814.273071288999
2019-02-17,2019,2,ZIMA,17.634918828187352,51.32745207410372,22843.019327359605,1812.6520167845667
2019-02-17,2019,2,ZIMA,17.69780089807572,51.32745207410372,23199.70542338003,1808.9136579963479
2019-02-17,2019,2,ZIMA,17.383390548633884,51.39033414399208,23822.88573202095,1807.8622039223608
2019-02-17,2019,2,ZIMA,17.572036758298985,51.39033414399208,16521.31041920447,1814.2730867323858
2019-02-17,2019,2,ZIMA,17.634918828187352,51.39033414399208,15847.922083942462,1810.66517024649
2019-02-17,2019,2,ZIMA,17.69780089807572,51.39033414399208,16357.168116886405,1808.4992734017078
2019-02-17,2019,2,ZIMA,17.320508478745523,51.45321621388044,23847.100417022495,1807.862106147452
2019-02-17,2019,2,ZIMA,17.383390548633884,51.45321621388044,19857.909045501852,1807.8621738838688
2019-02-17,2019,2,ZIMA,17.44627261852225,51.45321621388044,16066.546069230335,1807.862184410667
2019-02-18,2019,2,ZIMA,17.88994888324027,51.45321621388044,19523.961676905423,1812.9189439480886
2019-02-18,2019,2,ZIMA,17.952830953128636,51.45321621388044,23500.374522811093,1812.9189456190945
2019-02-18,2019,2,ZIMA,17.88994888324027,51.51609828376883,17489.989605776536,1812.9189435622675
2019-02-18,2019,2,ZIMA,17.952830953128636,51.51609828376883,21834.539010409397,1812.9189443939028
2019-02-18,2019,2,ZIMA,17.952830953128636,51.57898035365719,22340.973038362285,1828.772462914435
