Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,tropospheric_HCHO_column_number_density
2019-01-03,2019,1,ZIMA,17.732668763968462,51.32745207410372,23744.84441283928,7.175566861405969E-5
2019-01-03,2019,1,ZIMA,17.606904624191742,51.39033414399208,16004.666684972404,2.2925915254745632E-4
2019-01-03,2019,1,ZIMA,17.669786694080102,51.39033414399208,15985.386840210016,2.2925915254745632E-4
2019-01-03,2019,1,ZIMA,17.732668763968462,51.39033414399208,17120.54980107803,-6.891237064672453E-5
2019-01-03,2019,1,ZIMA,17.79555083385685,51.39033414399208,19206.544706472265,-6.709437888178461E-5
2019-01-03,2019,1,ZIMA,17.85843290374521,51.39033414399208,21974.236039638632,5.9799588941954166E-5
2019-01-03,2019,1,ZIMA,17.481140484414993,51.45321621388044,14108.503616378182,-6.350529929477489E-6
2019-01-03,2019,1,ZIMA,17.544022554303382,51.45321621388044,11051.864354869442,-6.350529929477489E-6
2019-01-03,2019,1,ZIMA,17.606904624191742,51.45321621388044,9131.414917931968,3.308747836854309E-4
2019-01-03,2019,1,ZIMA,17.669786694080102,51.45321621388044,9097.62722149608,3.308747836854309E-4
2019-01-03,2019,1,ZIMA,17.732668763968462,51.45321621388044,10967.950961820248,-4.763970719068311E-5
2019-01-03,2019,1,ZIMA,17.79555083385685,51.45321621388044,13998.938342261019,-4.763970719068311E-5
2019-01-03,2019,1,ZIMA,17.85843290374521,51.45321621388044,17600.84591503556,1.5362359408754855E-4
2019-01-03,2019,1,ZIMA,17.92131497363357,51.45321621388044,21488.470152556398,1.5362359408754855E-4
2019-01-03,2019,1,ZIMA,17.292494274749913,51.51609828376883,24144.818014395776,1.8770515453070402E-4
2019-01-03,2019,1,ZIMA,17.355376344638273,51.51609828376883,19796.310662122145,1.8630008507073038E-4
2019-01-03,2019,1,ZIMA,17.418258414526633,51.51609828376883,15456.651465426932,1.7320858023595065E-4
2019-01-03,2019,1,ZIMA,17.481140484414993,51.51609828376883,11136.194416413851,1.2096859426319802E-4
2019-01-03,2019,1,ZIMA,17.544022554303382,51.51609828376883,6871.263048146265,1.1846796834523365E-4
2019-01-03,2019,1,ZIMA,17.606904624191742,51.51609828376883,2916.577875753462,2.827602377641877E-4
2019-01-03,2019,1,ZIMA,17.669786694080102,51.51609828376883,2809.15520348394,2.8364489577461084E-4
2019-01-03,2019,1,ZIMA,17.732668763968462,51.51609828376883,6735.653908058575,-1.7451470306723383E-6
2019-01-03,2019,1,ZIMA,17.79555083385685,51.51609828376883,10997.247700343021,-3.366994956347146E-6
2019-01-03,2019,1,ZIMA,17.85843290374521,51.51609828376883,15316.741198731223,7.461595027813911E-5
2019-01-03,2019,1,ZIMA,17.292494274749913,51.57898035365719,24600.770206174508,6.752030458301306E-5
2019-01-03,2019,1,ZIMA,17.355376344638273,51.57898035365719,20356.394174945843,6.038968178949078E-5
2019-01-03,2019,1,ZIMA,17.418258414526633,51.57898035365719,16174.290831157803,5.451262116752828E-5
2019-01-03,2019,1,ZIMA,17.481140484414993,51.57898035365719,12119.105258101841,6.789700485577437E-5
2019-01-03,2019,1,ZIMA,17.544022554303382,51.57898035365719,8377.229090435452,7.100017792455441E-5
2019-01-03,2019,1,ZIMA,17.606904624191742,51.57898035365719,5614.582045702339,8.934986668405365E-5
2019-01-03,2019,1,ZIMA,17.669786694080102,51.57898035365719,5559.613968580836,5.237973262045503E-5
2019-01-03,2019,1,ZIMA,17.732668763968462,51.57898035365719,8266.516099406217,-3.238825897328214E-5
2019-01-03,2019,1,ZIMA,17.79555083385685,51.57898035365719,11991.729653580369,-2.8959265145053735E-5
2019-01-03,2019,1,ZIMA,17.85843290374521,51.57898035365719,16040.826081180967,-1.6261354176094756E-5
2019-01-03,2019,1,ZIMA,17.355376344638273,51.64186242354555,23125.04147893678,6.383868079612625E-5
2019-01-03,2019,1,ZIMA,17.418258414526633,51.64186242354555,19550.02315551037,2.3509049040584973E-5
2019-01-03,2019,1,ZIMA,17.481140484414993,51.64186242354555,16359.307430014633,-7.994113548193127E-5
2019-01-03,2019,1,ZIMA,17.544022554303382,51.64186242354555,13821.658044124611,-1.627833931966503E-4
2019-01-03,2019,1,ZIMA,17.606904624191742,51.64186242354555,12346.548358721957,-2.3929361486807466E-4
2019-01-03,2019,1,ZIMA,17.669786694080102,51.64186242354555,12321.683364871384,-1.4543382300140863E-4
2019-01-03,2019,1,ZIMA,17.732668763968462,51.64186242354555,13754.93006598086,-1.1271602405063932E-4
2019-01-03,2019,1,ZIMA,17.79555083385685,51.64186242354555,16265.302081435668,7.906326107637929E-5
2019-01-03,2019,1,ZIMA,17.85843290374521,51.64186242354555,19439.90126406745,9.092009713640437E-5
2019-01-03,2019,1,ZIMA,17.418258414526633,51.70474449343391,24509.157566210215,1.6299319714486364E-4
2019-01-03,2019,1,ZIMA,17.481140484414993,51.70474449343391,22051.779444375567,-1.3207860893081086E-6
2019-01-03,2019,1,ZIMA,17.544022554303382,51.70474449343391,20243.475733670544,9.095889198240902E-5
2019-01-03,2019,1,ZIMA,17.606904624191742,51.70474449343391,19267.86836294637,1.0910808518543156E-4
2019-01-03,2019,1,ZIMA,17.669786694080102,51.70474449343391,19251.966762032447,1.5337266065974008E-4
2019-01-03,2019,1,ZIMA,17.732668763968462,51.70474449343391,20198.037701640445,1.5495675316900702E-4
2019-01-03,2019,1,ZIMA,17.79555083385685,51.70474449343391,21982.227719178616,9.092009713640437E-5
2019-01-03,2019,1,ZIMA,17.85843290374521,51.70474449343391,24421.529529191524,9.092009713640437E-5
2019-01-05,2019,1,ZIMA,17.418258414526633,51.64186242354555,19550.02315551037,1.5475862892344594E-4
2019-01-05,2019,1,ZIMA,17.481140484414993,51.64186242354555,16359.307430014633,1.174328281194903E-4
2019-01-05,2019,1,ZIMA,17.606904624191742,51.64186242354555,12346.548358721957,-3.759198807529174E-5
2019-01-05,2019,1,ZIMA,17.669786694080102,51.64186242354555,12321.683364871384,-3.759198807529174E-5
2019-01-05,2019,1,ZIMA,17.732668763968462,51.64186242354555,13754.93006598086,6.11202891793554E-5
2019-01-05,2019,1,ZIMA,17.79555083385685,51.64186242354555,16265.302081435668,1.0018990764051636E-4
2019-01-05,2019,1,ZIMA,17.85843290374521,51.64186242354555,19439.90126406745,5.141072198167163E-5
2019-01-05,2019,1,ZIMA,17.92131497363357,51.64186242354555,23005.37212048987,6.874798619897127E-5
2019-01-05,2019,1,ZIMA,17.418258414526633,51.70474449343391,24509.157566210215,1.5475862892344594E-4
2019-01-05,2019,1,ZIMA,17.481140484414993,51.70474449343391,22051.779444375567,1.0731016960141199E-4
2019-01-05,2019,1,ZIMA,17.544022554303382,51.70474449343391,20243.475733670544,-2.4615205527293644E-5
2019-01-05,2019,1,ZIMA,17.606904624191742,51.70474449343391,19267.86836294637,1.451336903614662E-4
2019-01-05,2019,1,ZIMA,17.669786694080102,51.70474449343391,19251.966762032447,7.485082780955546E-5
2019-01-05,2019,1,ZIMA,17.732668763968462,51.70474449343391,20198.037701640445,7.299916952479487E-5
2019-01-05,2019,1,ZIMA,17.79555083385685,51.70474449343391,21982.227719178616,1.1078719126426175E-4
