Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,CO_column_number_density
2018-07-05,2018,7,LATO,21.379828817493717,49.57025589272891,22581.326963793283,0.024335280060768127
2018-07-05,2018,7,LATO,21.442710887382106,49.57025589272891,20615.621945864776,0.024335280060768127
2018-07-05,2018,7,LATO,21.505592957270466,49.57025589272891,19527.424608824724,0.024335280060768127
2018-07-05,2018,7,LATO,21.694239166935574,49.57025589272891,22307.901366905517,0.03231773152947426
2018-07-05,2018,7,LATO,21.254064677716997,49.63313796261727,24103.280981415068,0.025005381554365158
2018-07-05,2018,7,LATO,21.316946747605357,49.63313796261727,20342.388582043786,0.025005381554365158
2018-07-05,2018,7,LATO,21.442710887382106,49.63313796261727,14248.85629651418,0.024335280060768127
2018-07-05,2018,7,LATO,21.505592957270466,49.63313796261727,12625.469513471147,0.024335280060768127
2018-07-05,2018,7,LATO,21.694239166935574,49.63313796261727,16600.458491747162,0.029975253964116978
2018-07-05,2018,7,LATO,21.757121236823934,49.63313796261727,19916.109543529034,0.031101281892131787
2018-07-05,2018,7,LATO,21.820003306712294,49.63313796261727,23641.141354965424,0.03231773152947426
2018-07-05,2018,7,LATO,21.254064677716997,49.69602003250564,21362.025028234675,0.025005381554365158
2018-07-05,2018,7,LATO,21.316946747605357,49.69602003250564,17011.64313781215,0.025005381554365158
2018-07-05,2018,7,LATO,21.694239166935574,49.69602003250564,12301.885048887978,0.029158009216189384
2018-07-05,2018,7,LATO,21.757121236823934,49.69602003250564,16500.204360851785,0.029158009216189384
2018-07-05,2018,7,LATO,21.820003306712294,49.69602003250564,20839.86428826891,0.029158009216189384
2018-07-05,2018,7,LATO,21.254064677716997,49.758902102394,20725.22082679099,0.02774476446211338
2018-07-05,2018,7,LATO,21.316946747605357,49.758902102394,16211.42143557668,0.02774476446211338
2018-07-05,2018,7,LATO,21.254064677716997,49.82178417228238,22373.35836099587,0.02774476446211338
2018-07-05,2018,7,LATO,21.316946747605357,49.82178417228238,18277.261169078087,0.02774476446211338
2018-07-05,2018,7,LATO,21.379828817493717,49.82178417228238,14441.814821589349,0.02774476446211338
2018-07-05,2018,7,LATO,21.631357097047186,49.94754831205911,23523.197174346777,0.029932422563433647
2018-07-05,2018,7,LATO,21.757121236823934,49.82178417228238,17803.46291825894,0.027555953711271286
2018-07-05,2018,7,LATO,21.820003306712294,49.82178417228238,21876.652276657143,0.027555953711271286
2018-07-05,2018,7,LATO,21.694239166935574,49.88466624217074,19121.18582056075,0.027555953711271286
2018-07-05,2018,7,LATO,21.757121236823934,49.88466624217074,22047.022193917997,0.027555953711271286
2018-07-06,2018,7,LATO,21.568475027158826,49.57025589272891,19464.468792830085,0.03207554668188095
2018-07-06,2018,7,LATO,21.631357097047186,49.57025589272891,20436.231553208152,0.03207554668188095
2018-07-06,2018,7,LATO,21.694239166935574,49.57025589272891,22307.901366905517,0.03207554668188095
2018-07-06,2018,7,LATO,21.568475027158826,49.63313796261727,12528.00344240691,0.03207554668188095
2018-07-06,2018,7,LATO,21.631357097047186,49.63313796261727,13988.390079502979,0.03207554668188095
2018-07-06,2018,7,LATO,21.694239166935574,49.63313796261727,16600.458491747162,0.03207554668188095
2018-07-06,2018,7,LATO,21.757121236823934,49.63313796261727,19916.109543529034,0.03207554668188095
2018-07-06,2018,7,LATO,21.820003306712294,49.63313796261727,23641.141354965424,0.03334857297578518
2018-07-06,2018,7,LATO,21.568475027158826,49.69602003250564,5732.759415998773,0.034716662019491196
2018-07-06,2018,7,LATO,21.631357097047186,49.69602003250564,8458.069672355588,0.034716662019491196
2018-07-06,2018,7,LATO,21.694239166935574,49.69602003250564,12301.885048887978,0.034716662019491196
2018-07-06,2018,7,LATO,21.757121236823934,49.69602003250564,16500.204360851785,0.034716662019491196
2018-07-06,2018,7,LATO,21.820003306712294,49.69602003250564,20839.86428826891,0.03127729147672653
2018-07-06,2018,7,LATO,21.568475027158826,49.758902102394,2570.9406708201877,0.034716662019491196
2018-07-06,2018,7,LATO,21.631357097047186,49.758902102394,6725.646329883338,0.034716662019491196
2018-07-06,2018,7,LATO,21.694239166935574,49.758902102394,11177.154289103646,0.034716662019491196
2018-07-06,2018,7,LATO,21.757121236823934,49.758902102394,15674.598963383381,0.034716662019491196
2018-07-06,2018,7,LATO,21.820003306712294,49.758902102394,20187.29940755782,0.03190902770906823
2018-07-06,2018,7,LATO,21.882885376600655,49.758902102394,24706.895363140633,0.031961653176004676
2018-07-07,2018,7,LATO,21.379828817493717,49.57025589272891,22581.326963793283,0.025928311049938202
2018-07-07,2018,7,LATO,21.442710887382106,49.57025589272891,20615.621945864776,0.02701083035315878
2018-07-07,2018,7,LATO,21.505592957270466,49.57025589272891,19527.424608824724,0.027536341920495033
2018-07-07,2018,7,LATO,21.568475027158826,49.57025589272891,19464.468792830085,0.027536341920495033
2018-07-07,2018,7,LATO,21.631357097047186,49.57025589272891,20436.231553208152,0.02724353486606832
2018-07-07,2018,7,LATO,21.694239166935574,49.57025589272891,22307.901366905517,0.02718292735517025
2018-07-07,2018,7,LATO,21.254064677716997,49.63313796261727,24103.280981415068,0.02826496586203575
2018-07-07,2018,7,LATO,21.316946747605357,49.63313796261727,20342.388582043786,0.02826496586203575
2018-07-07,2018,7,LATO,21.757121236823934,49.63313796261727,19916.109543529034,0.027414723605516708
2018-07-07,2018,7,LATO,21.820003306712294,49.63313796261727,23641.141354965424,0.03157933056354523
2018-07-07,2018,7,LATO,21.254064677716997,49.69602003250564,21362.025028234675,0.025955740362405777
2018-07-07,2018,7,LATO,21.316946747605357,49.69602003250564,17011.64313781215,0.025955740362405777
2018-07-07,2018,7,LATO,21.379828817493717,49.69602003250564,12789.789265739555,0.025955740362405777
2018-07-07,2018,7,LATO,21.442710887382106,49.69602003250564,8881.68563062146,0.030799565836787224
2018-07-07,2018,7,LATO,21.505592957270466,49.69602003250564,5942.473040854575,0.030799565836787224
2018-07-07,2018,7,LATO,21.568475027158826,49.69602003250564,5732.759415998773,0.029293084873156097
2018-07-07,2018,7,LATO,21.631357097047186,49.69602003250564,8458.069672355588,0.028530007228255272
2018-07-07,2018,7,LATO,21.694239166935574,49.69602003250564,12301.885048887978,0.028530007228255272
2018-07-07,2018,7,LATO,21.757121236823934,49.69602003250564,16500.204360851785,0.02887487607946065
2018-07-07,2018,7,LATO,21.820003306712294,49.69602003250564,20839.86428826891,0.029010673984885216
2018-07-07,2018,7,LATO,21.568475027158826,49.758902102394,2570.9406708201877,0.02875898767710186
2018-07-07,2018,7,LATO,21.631357097047186,49.758902102394,6725.646329883338,0.028530007228255272
2018-07-07,2018,7,LATO,21.694239166935574,49.758902102394,11177.154289103646,0.028530007228255272
2018-07-07,2018,7,LATO,21.757121236823934,49.758902102394,15674.598963383381,0.02895291766757141
2018-07-07,2018,7,LATO,21.820003306712294,49.758902102394,20187.29940755782,0.029010673984885216
2018-07-07,2018,7,LATO,21.882885376600655,49.758902102394,24706.895363140633,0.029010673984885216
2018-07-07,2018,7,LATO,21.379828817493717,49.82178417228238,14441.814821589349,0.027635743841528893
2018-07-07,2018,7,LATO,21.442710887382106,49.82178417228238,11139.591516234801,0.027635743841528893
2018-07-07,2018,7,LATO,21.505592957270466,49.82178417228238,8979.5194546334,0.027635743841528893
2018-07-07,2018,7,LATO,21.505592957270466,49.88466624217074,15812.857226665115,0.027154874056577682
2018-07-07,2018,7,LATO,21.568475027158826,49.88466624217074,15735.548668069176,0.027154874056577682
2018-07-07,2018,7,LATO,21.631357097047186,49.88466624217074,16915.433066990285,0.027154874056577682
2018-07-07,2018,7,LATO,21.694239166935574,49.88466624217074,19121.18582056075,0.02715487405657768
2018-07-08,2018,7,LATO,21.442710887382106,49.57025589272891,20615.621945864776,0.02544167824089527
2018-07-08,2018,7,LATO,21.505592957270466,49.57025589272891,19527.424608824724,0.02544167824089527
2018-07-08,2018,7,LATO,21.254064677716997,49.63313796261727,24103.280981415068,0.025627729538860756
2018-07-08,2018,7,LATO,21.316946747605357,49.63313796261727,20342.388582043786,0.0235048992210775
2018-07-08,2018,7,LATO,21.379828817493717,49.63313796261727,16965.651355676113,0.02252081222832203
2018-07-08,2018,7,LATO,21.820003306712294,49.63313796261727,23641.141354965424,0.024746309965848923
2018-07-08,2018,7,LATO,21.254064677716997,49.69602003250564,21362.025028234675,0.02252081222832203
2018-07-08,2018,7,LATO,21.316946747605357,49.69602003250564,17011.64313781215,0.02252081222832203
2018-07-08,2018,7,LATO,21.379828817493717,49.69602003250564,12789.789265739555,0.02252081222832203
2018-07-08,2018,7,LATO,21.820003306712294,49.69602003250564,20839.86428826891,0.024746309965848923
2018-07-08,2018,7,LATO,21.568475027158826,49.758902102394,2570.9406708201877,0.02782791294157505
2018-07-08,2018,7,LATO,21.631357097047186,49.758902102394,6725.646329883338,0.02782791294157505
2018-07-08,2018,7,LATO,21.694239166935574,49.758902102394,11177.154289103646,0.0255059115588665
2018-07-08,2018,7,LATO,21.757121236823934,49.758902102394,15674.598963383381,0.0255059115588665
2018-07-08,2018,7,LATO,21.820003306712294,49.758902102394,20187.29940755782,0.023410242050886154
2018-07-08,2018,7,LATO,21.631357097047186,49.82178417228238,10805.743271733065,0.02782791294157505
2018-07-08,2018,7,LATO,21.694239166935574,49.82178417228238,14012.683962142772,0.0255059115588665
2018-07-08,2018,7,LATO,21.757121236823934,49.82178417228238,17803.46291825894,0.025364688395823586
2018-07-08,2018,7,LATO,21.820003306712294,49.82178417228238,21876.652276657143,0.023981797152225117
2018-07-08,2018,7,LATO,21.316946747605357,49.88466624217074,22430.87138035192,0.026510910878443854
2018-07-08,2018,7,LATO,21.379828817493717,49.88466624217074,19437.453472561792,0.026344729587435722
2018-07-08,2018,7,LATO,21.757121236823934,49.88466624217074,22047.022193917997,0.02484120801091194
2018-07-10,2018,7,LATO,21.254064677716997,49.63313796261727,24103.280981415068,0.02898877114057541
2018-07-10,2018,7,LATO,21.316946747605357,49.63313796261727,20342.388582043786,0.02898877114057541
2018-07-10,2018,7,LATO,21.379828817493717,49.63313796261727,16965.651355676113,0.02898877114057541
2018-07-10,2018,7,LATO,21.442710887382106,49.63313796261727,14248.85629651418,0.02898877114057541
2018-07-10,2018,7,LATO,21.505592957270466,49.63313796261727,12625.469513471147,0.02898877114057541
2018-07-10,2018,7,LATO,21.254064677716997,49.69602003250564,21362.025028234675,0.02898877114057541
2018-07-10,2018,7,LATO,21.316946747605357,49.69602003250564,17011.64313781215,0.02898877114057541
2018-07-10,2018,7,LATO,21.379828817493717,49.69602003250564,12789.789265739555,0.02898877114057541
2018-07-10,2018,7,LATO,21.442710887382106,49.69602003250564,8881.68563062146,0.02898877114057541
2018-07-10,2018,7,LATO,21.442710887382106,49.94754831205911,23678.0107831552,0.029848983511328697
2018-07-12,2018,7,LATO,21.379828817493717,49.57025589272891,22581.326963793283,0.029636839110191826
2018-07-12,2018,7,LATO,21.442710887382106,49.57025589272891,20615.621945864776,0.02898007488997154
2018-07-12,2018,7,LATO,21.505592957270466,49.57025589272891,19527.424608824724,0.028979431837797165
