Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,SO2_column_number_density
2019-02-28,2019,2,ZIMA,16.12925092636601,51.51960005926827,24376.60169592185,6.11641646119684E-4
2019-02-28,2019,2,ZIMA,16.192132996254376,51.51960005926827,23996.68794373281,0.0015264591766388873
2019-02-28,2019,2,ZIMA,16.255015066142743,51.51960005926827,24400.487287139043,-6.303634524604752E-4
2019-02-28,2019,2,ZIMA,15.940604716700909,51.58248212915663,24282.40484803101,0.0015979498358203257
2019-02-28,2019,2,ZIMA,16.003486786589274,51.58248212915663,21393.41149418868,-1.730544828727675E-4
2019-02-28,2019,2,ZIMA,16.06636885647764,51.58248212915663,19068.015702767465,-3.9280901739795134E-4
2019-02-28,2019,2,ZIMA,16.12925092636601,51.58248212915663,17531.93315770296,4.7710180938926905E-4
2019-02-28,2019,2,ZIMA,16.192132996254376,51.58248212915663,17000.480574031008,5.603927954899386E-4
2019-02-28,2019,2,ZIMA,16.255015066142743,51.58248212915663,17565.08308474533,-6.748208616186866E-5
2019-02-28,2019,2,ZIMA,16.317897136031107,51.58248212915663,19128.93496580306,5.245493478155157E-4
2019-02-28,2019,2,ZIMA,16.380779205919474,51.58248212915663,21474.833030779497,0.0015581973199041686
2019-02-28,2019,2,ZIMA,16.44366127580784,51.58248212915663,24378.044435490952,-1.2047878814230733E-4
2019-02-28,2019,2,ZIMA,15.877722646812542,51.645364199045005,23872.157385886225,-4.0059709769261256E-4
2019-02-28,2019,2,ZIMA,15.940604716700909,51.645364199045005,20007.22433513981,2.93691891231797E-4
2019-02-28,2019,2,ZIMA,16.003486786589274,51.645364199045005,16386.397482640103,8.897882577959344E-4
2019-02-28,2019,2,ZIMA,16.06636885647764,51.645364199045005,13211.92666309814,0.0019748506886501475
2019-02-28,2019,2,ZIMA,16.12925092636601,51.645364199045005,10881.729714798452,9.811319182133373E-4
2019-02-28,2019,2,ZIMA,16.192132996254376,51.645364199045005,10004.251371655018,1.9360859568088071E-4
