Data,Rok,Miesiac,Sezon,lon_pomiaru,lat_pomiaru,odleglosc_m,CH4_column_volume_mixing_ratio_dry_air,CO_column_number_density,tropospheric_HCHO_column_number_density,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,folder
2019-01-31,2019,1,ZIMA,16.565923640085124,51.767626563322295,23874.360079904105,1834.860234661352,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.62880570997349,51.767626563322295,21708.21461516989,1834.860231929562,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.69168777986186,51.767626563322295,20256.910366016014,1834.8602280971209,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.75456984975022,51.64186242354555,5700.671005645907,1856.383555226905,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.75456984975022,51.70474449343391,12685.980479552789,1854.647035037005,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.817451919638586,51.57898035365719,4097.049152339476,1842.292969202488,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.817451919638586,51.64186242354555,6877.713124472197,1856.3835449218464,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.817451919638586,51.70474449343391,13255.900035496014,1855.082226532785,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.817451919638586,51.767626563322295,20050.855201186077,1870.067153562757,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.880333989526953,51.57898035365719,8342.87147823116,1862.1698015789464,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.880333989526953,51.64186242354555,10002.381498184011,1870.8079833984696,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.880333989526953,51.70474449343391,15112.59324189347,1870.4673544437935,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.880333989526953,51.767626563322295,21322.179027900544,1870.0671591896653,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.94321605941532,51.57898035365719,12665.426555374055,1876.8303347006708,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.94321605941532,51.64186242354555,13810.566952387238,1870.9569067092816,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.94321605941532,51.70474449343391,17859.14262116209,1870.5454388540777,,,,,,zalecze
2019-01-31,2019,1,ZIMA,16.94321605941532,51.767626563322295,23346.69471159949,1870.0671738436224,,,,,,zalecze
2019-01-31,2019,1,ZIMA,17.006098129303687,51.57898035365719,17006.302359631587,1877.1160428347816,,,,,,zalecze
2019-01-31,2019,1,ZIMA,17.006098129303687,51.64186242354555,17870.512483347866,1877.2839287537763,,,,,,zalecze
2019-01-31,2019,1,ZIMA,17.068980199192055,51.57898035365719,21354.326951061896,1877.2839378272745,,,,,,zalecze
2019-01-31,2019,1,ZIMA,17.068980199192055,51.64186242354555,22043.545537886053,1877.283932059613,,,,,,zalecze
2019-02-08,2019,2,ZIMA,16.50654334569621,51.70474449343391,21726.73189986778,1824.064817084265,,,,,,zalecze
2019-02-08,2019,2,ZIMA,16.569425415584575,51.70474449343391,18368.400870511905,1824.064826003805,,,,,,zalecze
2019-02-08,2019,2,ZIMA,16.569425415584575,51.767626563322295,23737.980709715663,1823.918041857934,,,,,,zalecze
2019-02-08,2019,2,ZIMA,16.63230748547294,51.70474449343391,15512.327393546437,1824.0648322084176,,,,,,zalecze
