Data,Rok,Miesiac,Sezon,lon_pomiaru,lat_pomiaru,odleglosc_m,CO_column_number_density,tropospheric_HCHO_column_number_density,CH4_column_volume_mixing_ratio_dry_air,SO2_column_number_density,tropospheric_NO2_column_number_density,O3_column_number_density,miejsce,temperature_2m_mean,temperature_2m_min,temperature_2m_max,dewpoint_temperature_2m_mean,dewpoint_temperature_2m_min,dewpoint_temperature_2m_max,wilgotnosc_wzgledna_mean,wilgotnosc_wzgledna_min,wilgotnosc_wzgledna_max,predkosc_wiatru_mean,predkosc_wiatru_min,predkosc_wiatru_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,total_precipitation_hourly_sum,kierunek_wiatru_sredni,folder
2019-02-08,2019,2,ZIMA,16.255015066142743,52.019154842875736,24265.161424521026,,,1829.505828526824,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.255015066142743,52.08203691276413,23119.72310541184,,,1837.606313534378,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.317897136031107,52.08203691276413,18809.698725033148,,,1837.781126701663,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.317897136031107,52.14491898265248,19942.265372371287,,,1837.781104730071,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.317897136031107,52.207801052540844,23227.10301337965,,,1824.93588647877,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.380779205919474,52.08203691276413,14499.985113598344,,,1837.781128168099,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.380779205919474,52.14491898265248,15948.05856436531,,,1838.464374755045,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.380779205919474,52.207801052540844,19908.465287659084,,,1833.4388745919796,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.44366127580784,52.019154842875736,12550.999962698132,,,1832.4459776524905,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
2019-02-08,2019,2,ZIMA,16.44366127580784,52.08203691276413,10190.981826703126,,,1833.5266582761967,,,,koscian-bronsko,275.90498542785645,273.9721374511719,279.7088317871094,273.8649368286133,272.92176818847656,275.4181213378906,86.7219048546308,73.58221516829559,92.90230975461854,3.740548751345164,3.383390366285917,4.962218983185666,100736.8017578125,100492.8828125,100915.84375,2.3236436845763824e-06,216.80805032982968,koscian_bronsko
