Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,O3_column_number_density
2019-01-01,2019,1,ZIMA,22.511706075484312,49.818282396782934,24701.95139243399,0.14745646352403197
2019-01-01,2019,1,ZIMA,22.5745881453727,49.818282396782934,23179.990989381513,0.1466816539141936
2019-01-01,2019,1,ZIMA,22.63747021526106,49.818282396782934,22477.19310302812,0.14711759706796898
2019-01-01,2019,1,ZIMA,22.70035228514942,49.818282396782934,22669.87020706637,0.1477793325295646
2019-01-01,2019,1,ZIMA,22.76323435503778,49.818282396782934,23736.22590391918,0.14819507961355416
2019-01-01,2019,1,ZIMA,22.385941935707592,49.881164466671294,24755.41962115885,0.1464657617135337
2019-01-01,2019,1,ZIMA,22.448824005595952,49.881164466671294,21414.553078547604,0.1473992408448136
2019-01-01,2019,1,ZIMA,22.511706075484312,49.881164466671294,18576.03924205985,0.14725413727300304
2019-01-01,2019,1,ZIMA,22.5745881453727,49.881164466671294,16501.190343878156,0.14740752671440746
2019-01-01,2019,1,ZIMA,22.63747021526106,49.881164466671294,15499.778447575105,0.14737289369691473
2019-01-01,2019,1,ZIMA,22.70035228514942,49.881164466671294,15777.536289523485,0.1483042022580895
2019-01-01,2019,1,ZIMA,22.76323435503778,49.881164466671294,17272.865570236834,0.1485398579783428
2019-01-01,2019,1,ZIMA,22.82611642492617,49.881164466671294,19710.580301582235,0.14843204909295993
2019-01-01,2019,1,ZIMA,22.88899849481453,49.881164466671294,22790.260333719783,0.147896242436678
2019-01-01,2019,1,ZIMA,22.385941935707592,49.944046536559654,21099.816350571415,0.14698759748030846
2019-01-01,2019,1,ZIMA,22.448824005595952,49.944046536559654,17063.26112555415,0.1476005865144481
2019-01-01,2019,1,ZIMA,22.511706075484312,49.944046536559654,13333.731082309445,0.14734016511274142
2019-01-01,2019,1,ZIMA,22.5745881453727,49.944046536559654,10251.969093756328,0.14690191247382603
2019-01-01,2019,1,ZIMA,22.63747021526106,49.944046536559654,8549.756285370677,0.14765626365166004
2019-01-01,2019,1,ZIMA,22.70035228514942,49.944046536559654,9042.928938731413,0.1484588561855628
2019-01-01,2019,1,ZIMA,22.76323435503778,49.944046536559654,11451.273033171212,0.14865224744624242
2019-01-01,2019,1,ZIMA,22.82611642492617,49.944046536559654,14871.77697972746,0.1490774217314637
2019-01-01,2019,1,ZIMA,22.88899849481453,49.944046536559654,18758.69897101862,0.14726770983687335
2019-01-01,2019,1,ZIMA,22.95188056470289,49.944046536559654,22875.50316271728,0.14802566233068376
2019-01-01,2019,1,ZIMA,22.323059865819232,50.006928606448014,23872.30902750786,0.1472735240206789
2019-01-01,2019,1,ZIMA,22.385941935707592,50.006928606448014,19375.568508683016,0.14654754759065708
2019-01-01,2019,1,ZIMA,22.448824005595952,50.006928606448014,14885.090041441501,0.1458326114408002
2019-01-01,2019,1,ZIMA,22.511706075484312,50.006928606448014,10408.98643867441,0.14498424215953984
2019-01-01,2019,1,ZIMA,22.5745881453727,50.006928606448014,5979.63334137153,0.14570822920911333
2019-01-01,2019,1,ZIMA,22.63747021526106,50.006928606448014,1947.5658030581167,0.1455894032099674
2019-01-01,2019,1,ZIMA,22.70035228514942,50.006928606448014,3529.5881073097544,0.14684794530993833
2019-01-01,2019,1,ZIMA,22.76323435503778,50.006928606448014,7858.178311853176,0.14758861463824133
2019-01-01,2019,1,ZIMA,22.82611642492617,50.006928606448014,12315.514523846285,0.14791705380445475
2019-01-01,2019,1,ZIMA,22.88899849481453,50.006928606448014,16799.426233532566,0.1466584332144883
2019-01-01,2019,1,ZIMA,22.95188056470289,50.006928606448014,21293.12906235804,0.14672664229790788
2019-01-01,2019,1,ZIMA,22.323059865819232,50.069810676336374,24447.60601500991,0.14678475511803668
2019-01-01,2019,1,ZIMA,22.385941935707592,50.069810676336374,20086.432737065414,0.14626196748737072
2019-01-01,2019,1,ZIMA,22.448824005595952,50.069810676336374,15805.6582902434,0.1469774989000589
2019-01-01,2019,1,ZIMA,22.511706075484312,50.069810676336374,11693.917990542028,0.14649839435196738
2019-01-01,2019,1,ZIMA,22.5745881453727,50.069810676336374,8015.705506942406,0.14595722110685583
2019-01-01,2019,1,ZIMA,22.63747021526106,50.069810676336374,5685.978455993675,0.14594295532227103
2019-01-01,2019,1,ZIMA,22.70035228514942,50.069810676336374,6401.873249362716,0.14640551294087195
2019-01-01,2019,1,ZIMA,22.76323435503778,50.069810676336374,9498.027543417558,0.14657035752058878
2019-01-01,2019,1,ZIMA,22.82611642492617,50.069810676336374,13417.006350216807,0.1461717783055912
2019-01-01,2019,1,ZIMA,22.88899849481453,50.069810676336374,17618.015814795464,0.1459782055690423
2019-01-01,2019,1,ZIMA,22.95188056470289,50.069810676336374,21939.637326489687,0.1467724791876228
2019-01-01,2019,1,ZIMA,22.385941935707592,50.13269274622476,23007.869067281474,0.14591269032543458
2019-01-01,2019,1,ZIMA,22.448824005595952,50.13269274622476,19388.582856014593,0.14597770326033066
2019-01-01,2019,1,ZIMA,22.511706075484312,50.13269274622476,16217.09221020778,0.1466233257260135
2019-01-01,2019,1,ZIMA,22.5745881453727,50.13269274622476,13805.53908525785,0.1460783117645373
2019-01-01,2019,1,ZIMA,22.63747021526106,50.13269274622476,12598.156822397508,0.14562204895547443
2019-01-01,2019,1,ZIMA,22.70035228514942,50.13269274622476,12936.609106080039,0.14548397277997202
2019-01-01,2019,1,ZIMA,22.76323435503778,50.13269274622476,14714.614089316361,0.14681001593519888
2019-01-01,2019,1,ZIMA,22.82611642492617,50.13269274622476,17498.73573370715,0.1466487377490332
2019-01-01,2019,1,ZIMA,22.88899849481453,50.13269274622476,20890.512577136076,0.14641387762938574
2019-01-01,2019,1,ZIMA,22.95188056470289,50.13269274622476,24640.27307391685,0.14648988683776604
2019-01-01,2019,1,ZIMA,22.448824005595952,50.19557481611312,24492.130665820034,0.14790369380607118
2019-01-01,2019,1,ZIMA,22.511706075484312,50.19557481611312,22070.10561977982,0.1471097383392424
2019-01-01,2019,1,ZIMA,22.5745881453727,50.19557481611312,20366.231245064624,0.14625278428418154
2019-01-01,2019,1,ZIMA,22.63747021526106,50.19557481611312,19569.001319936575,0.14511507813303567
2019-01-01,2019,1,ZIMA,22.70035228514942,50.19557481611312,19788.299242301528,0.1460398369926025
2019-01-01,2019,1,ZIMA,22.76323435503778,50.19557481611312,20992.292055707996,0.14629725305373084
2019-01-01,2019,1,ZIMA,22.82611642492617,50.19557481611312,23027.039219144463,0.14686019635077316
2019-01-03,2019,1,ZIMA,22.511706075484312,49.818282396782934,24701.95139243399,0.149508343010554
2019-01-03,2019,1,ZIMA,22.5745881453727,49.818282396782934,23179.990989381513,0.14950382709503174
2019-01-03,2019,1,ZIMA,22.63747021526106,49.818282396782934,22477.19310302812,0.14950391581501316
2019-01-03,2019,1,ZIMA,22.70035228514942,49.818282396782934,22669.87020706637,0.15021203458309174
2019-01-03,2019,1,ZIMA,22.76323435503778,49.818282396782934,23736.22590391918,0.15021203458309174
2019-01-03,2019,1,ZIMA,22.385941935707592,49.881164466671294,24755.41962115885,0.14934176206588745
2019-01-03,2019,1,ZIMA,22.448824005595952,49.881164466671294,21414.553078547604,0.14914883023252795
2019-01-03,2019,1,ZIMA,22.511706075484312,49.881164466671294,18576.03924205985,0.14895999431610107
2019-01-03,2019,1,ZIMA,22.5745881453727,49.881164466671294,16501.190343878156,0.14895999431610107
2019-01-03,2019,1,ZIMA,22.63747021526106,49.881164466671294,15499.778447575105,0.14909372175052701
2019-01-03,2019,1,ZIMA,22.70035228514942,49.881164466671294,15777.536289523485,0.14957890586669081
2019-01-03,2019,1,ZIMA,22.76323435503778,49.881164466671294,17272.865570236834,0.1495392445946634
2019-01-03,2019,1,ZIMA,22.82611642492617,49.881164466671294,19710.580301582235,0.15006762855686442
2019-01-03,2019,1,ZIMA,22.88899849481453,49.881164466671294,22790.260333719783,0.15012217217252347
2019-01-03,2019,1,ZIMA,22.385941935707592,49.944046536559654,21099.816350571415,0.14888156681091352
2019-01-03,2019,1,ZIMA,22.448824005595952,49.944046536559654,17063.26112555415,0.14963086312629478
2019-01-03,2019,1,ZIMA,22.511706075484312,49.944046536559654,13333.731082309445,0.15011640966350245
2019-01-03,2019,1,ZIMA,22.5745881453727,49.944046536559654,10251.969093756328,0.1502190902000852
2019-01-03,2019,1,ZIMA,22.63747021526106,49.944046536559654,8549.756285370677,0.14991285961630504
2019-01-03,2019,1,ZIMA,22.70035228514942,49.944046536559654,9042.928938731413,0.1491519808769226
2019-01-03,2019,1,ZIMA,22.76323435503778,49.944046536559654,11451.273033171212,0.1491519808769226
2019-01-03,2019,1,ZIMA,22.82611642492617,49.944046536559654,14871.77697972746,0.14925578733041456
