Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,NO2_column_number_density
2018-06-28,2018,6,LATO,22.511706075484312,49.82178417228238,24348.5146931972,7.218110389905115E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.82178417228238,22803.09207662892,7.189324561191916E-5
2018-06-28,2018,6,LATO,22.63747021526106,49.82178417228238,22088.357866811853,7.53505288226335E-5
2018-06-28,2018,6,LATO,22.70035228514942,49.82178417228238,22284.38310391182,7.143259729961316E-5
2018-06-28,2018,6,LATO,22.76323435503778,49.82178417228238,23368.259711596755,7.504412406368863E-5
2018-06-28,2018,6,LATO,22.385941935707592,49.88466624217074,24513.739652763976,7.977358870314332E-5
2018-06-28,2018,6,LATO,22.448824005595952,49.88466624217074,21134.967848284294,7.76606448715935E-5
2018-06-28,2018,6,LATO,22.511706075484312,49.88466624217074,18253.25230881562,7.677191544073691E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.88466624217074,16137.116500163262,7.593293195530734E-5
2018-06-28,2018,6,LATO,22.63747021526106,49.88466624217074,15111.674166549745,7.452629165769342E-5
2018-06-28,2018,6,LATO,22.70035228514942,49.88466624217074,15396.414742620835,7.614174478851834E-5
2018-06-28,2018,6,LATO,22.76323435503778,49.88466624217074,16925.34333875256,7.664646105804703E-5
2018-06-28,2018,6,LATO,22.82611642492617,49.88466624217074,19406.592250062964,7.564066877864199E-5
2018-06-28,2018,6,LATO,22.88899849481453,49.88466624217074,22527.657503537193,7.608147615343616E-5
2018-06-28,2018,6,LATO,22.385941935707592,49.94754831205911,20946.199262861952,8.584880822304731E-5
2018-06-28,2018,6,LATO,22.448824005595952,49.94754831205911,16873.264610702718,7.871942408962106E-5
2018-06-28,2018,6,LATO,22.511706075484312,49.94754831205911,13090.02573646413,7.935849551840007E-5
2018-06-28,2018,6,LATO,22.5745881453727,49.94754831205911,9933.202790411804,8.123865075127573E-5
2018-06-28,2018,6,LATO,22.63747021526106,49.94754831205911,8164.943080061636,7.906621277139655E-5
2018-06-28,2018,6,LATO,22.70035228514942,49.94754831205911,8679.97110529336,7.877957592396582E-5
2018-06-28,2018,6,LATO,22.76323435503778,49.94754831205911,11166.71031348582,7.776912421319422E-5
2018-06-28,2018,6,LATO,22.82611642492617,49.94754831205911,14653.566075803477,7.505335563696419E-5
2018-06-28,2018,6,LATO,22.88899849481453,49.94754831205911,18585.923821106873,7.6048614682911E-5
2018-06-28,2018,6,LATO,22.95188056470289,49.94754831205911,22733.76338533142,7.462213534005559E-5
2018-06-28,2018,6,LATO,22.323059865819232,50.01043038194747,23850.83967714598,8.559073417393577E-5
2018-06-28,2018,6,LATO,22.385941935707592,50.01043038194747,19349.475456503264,8.419871935874101E-5
2018-06-28,2018,6,LATO,22.448824005595952,50.01043038194747,14851.485761760701,8.149907888204568E-5
2018-06-28,2018,6,LATO,22.511706075484312,50.01043038194747,10361.271581200866,8.090880147388626E-5
2018-06-28,2018,6,LATO,22.5745881453727,50.01043038194747,5896.629457514034,7.896012104331955E-5
2018-06-28,2018,6,LATO,22.63747021526106,50.01043038194747,1676.1724646561013,7.86795088193171E-5
2018-06-28,2018,6,LATO,22.70035228514942,50.01043038194747,3387.315730382026,7.940641654977526E-5
2018-06-28,2018,6,LATO,22.76323435503778,50.01043038194747,7795.081907889012,7.75074712016091E-5
2018-06-28,2018,6,LATO,22.82611642492617,50.01043038194747,12275.084528723975,7.69238151162587E-5
2018-06-28,2018,6,LATO,22.88899849481453,50.01043038194747,16769.527078655992,7.577339624406838E-5
2018-06-28,2018,6,LATO,22.95188056470289,50.01043038194747,21269.255378435504,7.621285834844014E-5
2018-06-28,2018,6,LATO,22.323059865819232,50.07331245183585,24537.920565713644,8.060754834455385E-5
2018-06-28,2018,6,LATO,22.385941935707592,50.07331245183585,20196.609291116263,8.006080238791226E-5
2018-06-28,2018,6,LATO,22.448824005595952,50.07331245183585,15945.791582314407,8.424613492655838E-5
2018-06-28,2018,6,LATO,22.511706075484312,50.07331245183585,11882.987447139221,8.139678123573662E-5
2018-06-28,2018,6,LATO,22.5745881453727,50.07331245183585,8289.420749786339,7.98859829126409E-5
2018-06-28,2018,6,LATO,22.63747021526106,50.07331245183585,6065.941398583339,7.783392884770022E-5
2018-06-28,2018,6,LATO,22.70035228514942,50.07331245183585,6741.560895886002,7.849857746725413E-5
2018-06-28,2018,6,LATO,22.76323435503778,50.07331245183585,9730.03563215711,7.755983733236724E-5
2018-06-28,2018,6,LATO,22.82611642492617,50.07331245183585,13581.9946667153,7.7245551856107E-5
2018-06-28,2018,6,LATO,22.88899849481453,50.07331245183585,17743.717339351235,7.859983366739557E-5
2018-06-28,2018,6,LATO,22.95188056470289,50.07331245183585,22040.42336425454,7.829746070222683E-5
2018-06-28,2018,6,LATO,22.385941935707592,50.13619452172421,23221.739674176333,7.33299117094773E-5
2018-06-28,2018,6,LATO,22.448824005595952,50.13619452172421,19642.18683773064,7.773656284005183E-5
2018-06-28,2018,6,LATO,22.511706075484312,50.13619452172421,16519.706055350816,7.770907608607629E-5
2018-06-28,2018,6,LATO,22.5745881453727,50.13619452172421,14159.972046187717,7.735216845660934E-5
2018-06-28,2018,6,LATO,22.63747021526106,50.13619452172421,12985.676020570425,7.808941001326664E-5
2018-06-28,2018,6,LATO,22.70035228514942,50.13619452172421,13314.257430524793,7.752141637325524E-5
2018-06-28,2018,6,LATO,22.76323435503778,50.13619452172421,15047.58692904044,7.848367638341628E-5
2018-06-28,2018,6,LATO,22.82611642492617,50.13619452172421,17779.4601509244,7.761438974788659E-5
2018-06-28,2018,6,LATO,22.88899849481453,50.13619452172421,21125.990068409075,7.644806990958815E-5
2018-06-28,2018,6,LATO,22.448824005595952,50.19907659161257,24803.4661515463,7.97187493596407E-5
2018-06-28,2018,6,LATO,22.511706075484312,50.19907659161257,22415.291257214278,7.966163254537905E-5
2018-06-28,2018,6,LATO,22.5745881453727,50.19907659161257,20739.92246866583,7.74958384260357E-5
2018-06-28,2018,6,LATO,22.63747021526106,50.19907659161257,19957.6839583806,7.800140337636965E-5
2018-06-28,2018,6,LATO,22.70035228514942,50.19907659161257,20172.741320712164,7.802191435161007E-5
2018-06-28,2018,6,LATO,22.76323435503778,50.19907659161257,21354.986327320312,7.963899196170761E-5
2018-06-28,2018,6,LATO,22.82611642492617,50.19907659161257,23358.019989987217,7.878979220095113E-5
2018-06-29,2018,6,LATO,22.511706075484312,49.82178417228238,24348.5146931972,8.601765252516833E-5
2018-06-29,2018,6,LATO,22.5745881453727,49.82178417228238,22803.09207662892,8.002488315096763E-5
2018-06-29,2018,6,LATO,22.63747021526106,49.82178417228238,22088.357866811853,8.505176632156539E-5
