Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,CO_column_number_density
2018-07-05,2018,7,LATO,22.5745881453727,49.69602003250564,20561.686773497524,0.02912049926817417
2018-07-05,2018,7,LATO,22.63747021526106,49.69602003250564,18855.987393234445,0.02912049926817417
2018-07-05,2018,7,LATO,22.76323435503778,49.69602003250564,18551.442822173998,0.028058795258402824
2018-07-05,2018,7,LATO,22.82611642492617,49.69602003250564,19999.961704024674,0.028058795258402824
2018-07-05,2018,7,LATO,22.5745881453727,49.758902102394,14760.730259649155,0.02912049926817417
2018-07-05,2018,7,LATO,22.63747021526106,49.758902102394,12277.262540419912,0.02912049926817417
2018-07-05,2018,7,LATO,22.70035228514942,49.758902102394,11160.468767676724,0.02912049926817417
2018-07-05,2018,7,LATO,22.76323435503778,49.758902102394,11804.81462559234,0.028058795258402824
2018-07-05,2018,7,LATO,22.82611642492617,49.758902102394,13968.680895251156,0.028058795258402824
2018-07-05,2018,7,LATO,22.88899849481453,49.758902102394,17084.12721294429,0.026765558904494877
2018-07-05,2018,7,LATO,22.95188056470289,49.758902102394,20726.400570609723,0.02674764022231102
2018-07-05,2018,7,LATO,22.511706075484312,49.82178417228238,14791.531316046076,0.03141020983457565
2018-07-05,2018,7,LATO,22.5745881453727,49.82178417228238,10526.548128011082,0.03141020983457565
2018-07-05,2018,7,LATO,22.70035228514942,49.82178417228238,4195.903012664657,0.02912049926817417
2018-07-05,2018,7,LATO,22.88899849481453,49.82178417228238,13590.468446568486,0.02674764022231102
2018-07-05,2018,7,LATO,22.95188056470289,49.82178417228238,17951.01663288172,0.02674764022231102
2018-07-05,2018,7,LATO,23.01476263459125,49.82178417228238,22376.25727951151,0.028958795592188835
2018-07-05,2018,7,LATO,22.385941935707592,49.88466624217074,23402.917313071393,0.027302291244268417
2018-07-05,2018,7,LATO,22.448824005595952,49.88466624217074,18924.111788123548,0.027302291244268417
2018-07-05,2018,7,LATO,22.511706075484312,49.88466624217074,14471.147314127542,0.031290649775758135
2018-07-05,2018,7,LATO,22.5745881453727,49.88466624217074,10078.34001176891,0.03141020983457565
2018-07-05,2018,7,LATO,22.63747021526106,49.88466624217074,5882.056349369864,0.030495639153034236
2018-07-05,2018,7,LATO,22.70035228514942,49.88466624217074,2913.9541168303376,0.028950823470950127
2018-07-05,2018,7,LATO,22.76323435503778,49.88466624217074,4821.8733006317025,0.028950823470950127
2018-07-05,2018,7,LATO,22.88899849481453,49.88466624217074,13242.724081687866,0.032458703964948654
2018-07-05,2018,7,LATO,22.95188056470289,49.88466624217074,17684.16125212916,0.032458703964948654
2018-07-05,2018,7,LATO,23.01476263459125,49.88466624217074,22157.52781385764,0.032458703964948654
2018-07-05,2018,7,LATO,22.448824005595952,49.94754831205911,21127.989422491017,0.027302291244268417
2018-07-05,2018,7,LATO,22.5745881453727,49.94754831205911,13790.446061996172,0.03141020983457565
2018-07-05,2018,7,LATO,22.63747021526106,49.94754831205911,11103.569924743837,0.02941312903694679
2018-07-05,2018,7,LATO,22.70035228514942,49.94754831205911,9859.80926964583,0.028950823470950127
2018-07-05,2018,7,LATO,22.76323435503778,49.94754831205911,10580.923234395575,0.028950823470950127
2018-07-05,2018,7,LATO,22.88899849481453,49.94754831205911,16244.298132753389,0.030311937328242205
2018-07-05,2018,7,LATO,22.95188056470289,49.94754831205911,20026.44459875381,0.032284865278236825
2018-07-05,2018,7,LATO,23.01476263459125,49.94754831205911,24063.52734493033,0.032458703964948654
2018-07-05,2018,7,LATO,22.88899849481453,50.01043038194747,21218.553780511953,0.026562418788671494
2018-07-05,2018,7,LATO,22.95188056470289,50.01043038194747,24232.818311623087,0.026562418788671494
2018-07-05,2018,7,LATO,22.511706075484312,50.01043038194747,22004.15416425259,0.02826208434998989
2018-07-05,2018,7,LATO,22.5745881453727,50.01043038194747,19406.75932285747,0.02826208434998989
2018-07-06,2018,7,LATO,22.88899849481453,49.758902102394,17084.12721294429,0.033546275956585755
2018-07-06,2018,7,LATO,22.95188056470289,49.758902102394,20726.400570609723,0.033963095396757126
2018-07-06,2018,7,LATO,23.01476263459125,49.758902102394,24663.186351198492,0.033963095396757126
2018-07-06,2018,7,LATO,22.385941935707592,49.82178417228238,23611.67217358059,0.032498862594366074
2018-07-06,2018,7,LATO,22.448824005595952,49.82178417228238,19175.254470320466,0.032498862594366074
2018-07-06,2018,7,LATO,22.511706075484312,49.82178417228238,14791.531316046076,0.032498862594366074
2018-07-06,2018,7,LATO,22.5745881453727,49.82178417228238,10526.548128011082,0.03253615646585816
2018-07-06,2018,7,LATO,22.63747021526106,49.82178417228238,6614.145906888283,0.03285622596740723
2018-07-06,2018,7,LATO,22.70035228514942,49.82178417228238,4195.903012664657,0.03285622596740723
2018-07-06,2018,7,LATO,22.76323435503778,49.82178417228238,5690.701004923036,0.03285622596740723
