Data,Rok,Miesiac,Sezon,Lon,Lat,odleglosc_m,O3_column_number_density
2019-01-01,2019,1,ZIMA,22.511706075484312,49.692518257006185,23352.466148890533,0.14690808158878269
2019-01-01,2019,1,ZIMA,22.5745881453727,49.692518257006185,20906.203170453093,0.14668073677135196
2019-01-01,2019,1,ZIMA,22.63747021526106,49.692518257006185,19230.959371894587,0.14737440616677616
2019-01-01,2019,1,ZIMA,22.70035228514942,49.692518257006185,18536.962194510226,0.14883590680708395
2019-01-01,2019,1,ZIMA,22.76323435503778,49.692518257006185,18932.425880899234,0.14919354521001515
2019-01-01,2019,1,ZIMA,22.82611642492617,49.692518257006185,20353.948011100023,0.14949482376225232
2019-01-01,2019,1,ZIMA,22.88899849481453,49.692518257006185,22608.813271658124,0.147403233341511
2019-01-01,2019,1,ZIMA,22.448824005595952,49.755400326894545,21998.881762824964,0.1462528137477636
2019-01-01,2019,1,ZIMA,22.511706075484312,49.755400326894545,18298.804040988918,0.1476128713824667
2019-01-01,2019,1,ZIMA,22.5745881453727,49.755400326894545,15057.141386003515,0.14723530748246896
2019-01-01,2019,1,ZIMA,22.63747021526106,49.755400326894545,12631.892043024956,0.14721220950847855
2019-01-01,2019,1,ZIMA,22.70035228514942,49.755400326894545,11549.359303438045,0.14806504579007107
2019-01-01,2019,1,ZIMA,22.76323435503778,49.755400326894545,12173.181627769312,0.14941465952466726
2019-01-01,2019,1,ZIMA,22.82611642492617,49.755400326894545,14281.483077368082,0.1494299385973339
2019-01-01,2019,1,ZIMA,22.88899849481453,49.755400326894545,17341.022824365606,0.1491373998275722
2019-01-01,2019,1,ZIMA,22.95188056470289,49.755400326894545,20938.893500254333,0.14762452345327884
2019-01-01,2019,1,ZIMA,23.01476263459125,49.755400326894545,24842.286671842634,0.1483979665382786
2019-01-01,2019,1,ZIMA,22.385941935707592,49.818282396782934,23684.033779577603,0.1461331347967084
2019-01-01,2019,1,ZIMA,22.448824005595952,49.818282396782934,19263.931975119103,0.1472642025269365
2019-01-01,2019,1,ZIMA,22.511706075484312,49.818282396782934,14905.949902664388,0.14745646352403197
2019-01-01,2019,1,ZIMA,22.5745881453727,49.818282396782934,10686.363650222665,0.1466816539141936
2019-01-01,2019,1,ZIMA,22.63747021526106,49.818282396782934,6865.2929161217935,0.14711759706796898
2019-01-01,2019,1,ZIMA,22.70035228514942,49.818282396782934,4581.380215996781,0.1477793325295646
2019-01-01,2019,1,ZIMA,22.76323435503778,49.818282396782934,5980.684087789046,0.14819507961355416
2019-01-01,2019,1,ZIMA,22.82611642492617,49.818282396782934,9564.047751236858,0.14841426141509928
2019-01-01,2019,1,ZIMA,22.88899849481453,49.818282396782934,13714.821047200316,0.14800815919343724
2019-01-01,2019,1,ZIMA,22.95188056470289,49.818282396782934,18045.6202044084,0.14751931330339954
